id,name,age,gender,wrist_width,physical_pin,haptic_x,haptic_y,visual_x,visual_y,dist,trial_id,expected_ans,ans
0,bo3,26,M,45.0,-22,142,862,226,668,211,1,1,
1,bo3,26,M,45.0,-22,145,659,145,659,211,1,1,1
2,bo3,26,M,45.0,-22,270,863,270,863,205,2,2,
3,bo3,26,M,45.0,-22,595,813,399,753,205,2,2,1
4,bo3,26,M,45.0,-22,457,655,257,589,211,3,1,
5,bo3,26,M,45.0,-22,303,797,303,797,211,3,1,2
6,bo3,26,M,45.0,-22,483,874,268,843,218,4,1,
7,bo3,26,M,45.0,-22,457,671,457,671,218,4,1,1
8,bo3,26,M,45.0,-22,553,845,553,845,218,5,2,
9,bo3,26,M,45.0,-22,139,742,356,731,218,5,2,2
10,bo3,26,M,45.0,-22,639,799,639,799,211,6,2,
11,bo3,26,M,45.0,-22,468,653,286,547,211,6,2,1
