id,name,age,gender,wrist_width,physical_pin,haptic_x,haptic_y,visual_x,visual_y,dist,trial_id,expected_ans,ans
0,bo,26,M,45.0,80,312,711,312,711,211,1,2,
1,bo,26,M,45.0,80,480,840,317,706,211,1,2,2
2,bo,26,M,45.0,80,266,690,266,690,211,2,2,
3,bo,26,M,45.0,80,234,882,402,754,211,2,2,2
4,bo,26,M,45.0,80,632,714,632,714,83,3,2,
5,bo,26,M,45.0,80,516,686,434,673,83,3,2,1
6,bo,26,M,45.0,80,203,687,399,610,211,4,1,
7,bo,26,M,45.0,80,384,879,384,879,211,4,1,1
8,bo,26,M,45.0,80,291,691,291,691,211,5,2,
9,bo,26,M,45.0,80,329,891,254,694,211,5,2,2
10,bo,26,M,45.0,80,205,699,232,621,83,6,1,
11,bo,26,M,45.0,80,566,935,566,935,83,6,1,2
12,bo,26,M,45.0,80,199,996,384,894,211,7,1,
13,bo,26,M,45.0,80,541,834,541,834,211,7,1,1
14,bo,26,M,45.0,80,301,843,201,657,211,8,1,
15,bo,26,M,45.0,80,521,729,521,729,211,8,1,1
16,bo,26,M,45.0,80,622,883,622,883,83,9,2,
17,bo,26,M,45.0,80,449,788,448,705,83,9,2,2
18,bo,26,M,45.0,80,248,823,283,748,83,10,1,
19,bo,26,M,45.0,80,596,698,596,698,83,10,1,2
20,bo,26,M,45.0,80,430,846,430,846,147,11,2,
21,bo,26,M,45.0,80,275,721,193,599,147,11,2,2
22,bo,26,M,45.0,80,557,942,495,809,147,12,1,
23,bo,26,M,45.0,80,235,683,235,683,147,12,1,1
24,bo,26,M,45.0,80,633,697,633,697,83,13,2,
25,bo,26,M,45.0,80,506,831,424,821,83,13,2,1
26,bo,26,M,45.0,80,201,688,318,599,147,14,1,
27,bo,26,M,45.0,80,336,857,336,857,147,14,1,1
28,bo,26,M,45.0,80,559,1001,428,934,147,15,1,
29,bo,26,M,45.0,80,561,772,561,772,147,15,1,2
