id,name,age,gender,wrist_width,physical_pin,haptic_x,haptic_y,visual_x,visual_y,dist,trial_id,expected_ans,ans
0,wwc5,27,M,40.0,80,220,760,371,708,160,1,1,
1,wwc5,27,M,40.0,80,503,857,503,857,160,1,1,2
2,wwc5,27,M,40.0,80,627,679,451,603,192,2,1,
3,wwc5,27,M,40.0,80,580,887,580,887,192,2,1,2
4,wwc5,27,M,40.0,80,456,737,456,737,224,3,2,
5,wwc5,27,M,40.0,80,299,900,211,694,224,3,2,2
6,wwc5,27,M,40.0,80,399,695,399,695,224,4,2,
7,wwc5,27,M,40.0,80,548,835,452,632,224,4,2,2
8,wwc5,27,M,40.0,80,180,1005,180,1005,192,5,2,
9,wwc5,27,M,40.0,80,207,779,350,651,192,5,2,2
10,wwc5,27,M,40.0,80,590,687,590,687,192,6,2,
11,wwc5,27,M,40.0,80,407,794,232,715,192,6,2,2
12,wwc5,27,M,40.0,80,632,674,632,674,160,7,2,
13,wwc5,27,M,40.0,80,182,694,335,647,160,7,2,2
14,wwc5,27,M,40.0,80,543,806,543,806,160,8,2,
15,wwc5,27,M,40.0,80,184,670,334,614,160,8,2,2
16,wwc5,27,M,40.0,80,208,866,208,866,128,9,2,
17,wwc5,27,M,40.0,80,577,877,533,757,128,9,2,1
18,wwc5,27,M,40.0,80,459,679,459,679,160,10,2,
19,wwc5,27,M,40.0,80,432,903,299,814,160,10,2,2
20,wwc5,27,M,40.0,80,639,942,639,942,160,11,2,
21,wwc5,27,M,40.0,80,506,743,401,622,160,11,2,1
22,wwc5,27,M,40.0,80,231,793,423,792,192,12,1,
23,wwc5,27,M,40.0,80,597,1015,597,1015,192,12,1,1
24,wwc5,27,M,40.0,80,503,727,503,727,192,13,2,
25,wwc5,27,M,40.0,80,604,896,508,730,192,13,2,2
26,wwc5,27,M,40.0,80,202,678,357,638,160,14,1,
27,wwc5,27,M,40.0,80,513,672,513,672,160,14,1,1
28,wwc5,27,M,40.0,80,427,895,427,895,160,15,2,
29,wwc5,27,M,40.0,80,184,672,337,626,160,15,2,1
30,wwc5,27,M,40.0,-22,357,638,357,638,254,1,2,
31,wwc5,27,M,40.0,-22,318,849,160,650,254,1,2,2
32,wwc5,27,M,40.0,-22,191,679,439,626,254,2,1,
33,wwc5,27,M,40.0,-22,543,621,543,621,254,2,1,1
34,wwc5,27,M,40.0,-22,500,811,312,682,228,3,1,
35,wwc5,27,M,40.0,-22,394,642,394,642,228,3,1,2
36,wwc5,27,M,40.0,-22,440,859,187,841,254,4,1,
37,wwc5,27,M,40.0,-22,501,673,501,673,254,4,1,1
38,wwc5,27,M,40.0,-22,274,627,274,627,254,5,2,
39,wwc5,27,M,40.0,-22,368,939,298,695,254,5,2,2
40,wwc5,27,M,40.0,-22,208,744,208,744,228,6,2,
41,wwc5,27,M,40.0,-22,572,892,559,664,228,6,2,2
42,wwc5,27,M,40.0,-22,569,638,569,638,228,7,2,
