id,name,age,gender,wrist_width,physical_pin,haptic_x,haptic_y,visual_x,visual_y,dist,trial_id,expected_ans,ans
0,aaaaaaaa,aaaaaaa,aaaaaaaaaa,40.0,29,527,760,286,724,244,1,1,
1,aaaaaaaa,aaaaaaa,aaaaaaaaaa,40.0,29,181,659,181,659,244,1,1,2
2,aaaaaaaa,aaaaaaa,aaaaaaaaaa,40.0,29,360,737,541,573,244,2,1,
3,aaaaaaaa,aaaaaaa,aaaaaaaaaa,40.0,29,187,662,187,662,244,2,1,2
4,aaaaaaaa,aaaaaaa,aaaaaaaaaa,40.0,29,591,935,428,897,167,3,1,
5,aaaaaaaa,aaaaaaa,aaaaaaaaaa,40.0,29,611,677,611,677,167,3,1,1
6,aaaaaaaa,aaaaaaa,aaaaaaaaaa,40.0,29,564,874,427,672,244,4,1,
7,aaaaaaaa,aaaaaaa,aaaaaaaaaa,40.0,29,367,810,367,810,244,4,1,1
8,aaaaaaaa,aaaaaaa,aaaaaaaaaa,40.0,29,234,648,547,577,321,5,1,
9,aaaaaaaa,aaaaaaa,aaaaaaaaaa,40.0,29,634,676,634,676,321,5,1,2
10,aaaaaaaa,aaaaaaa,aaaaaaaaaa,40.0,29,317,808,317,808,321,6,2,
11,aaaaaaaa,aaaaaaa,aaaaaaaaaa,40.0,29,471,669,598,964,321,6,2,2
12,aaaaaaaa,aaaaaaa,aaaaaaaaaa,40.0,29,602,894,602,894,398,7,2,
13,aaaaaaaa,aaaaaaa,aaaaaaaaaa,40.0,29,510,849,168,645,398,7,2,2
14,aaaaaaaa,aaaaaaa,aaaaaaaaaa,40.0,29,160,913,160,913,475,8,2,
15,aaaaaaaa,aaaaaaa,aaaaaaaaaa,40.0,29,602,646,293,1007,475,8,2,1
16,aaaaaaaa,aaaaaaa,aaaaaaaaaa,40.0,29,175,1034,293,574,475,9,1,
17,aaaaaaaa,aaaaaaa,aaaaaaaaaa,40.0,29,548,643,548,643,475,9,1,2
18,aaaaaaaa,aaaaaaa,aaaaaaaaaa,40.0,29,154,660,543,575,398,10,1,
19,aaaaaaaa,aaaaaaa,aaaaaaaaaa,40.0,29,229,900,229,900,398,10,1,2
20,aaaaaaaa,aaaaaaa,aaaaaaaaaa,40.0,29,265,695,265,695,398,11,2,
21,aaaaaaaa,aaaaaaa,aaaaaaaaaa,40.0,29,263,925,449,573,398,11,2,2
22,aaaaaaaa,aaaaaaa,aaaaaaaaaa,40.0,29,327,684,327,684,475,12,2,
23,aaaaaaaa,aaaaaaa,aaaaaaaaaa,40.0,29,513,917,168,591,475,12,2,2
24,aaaaaaaa,aaaaaaa,aaaaaaaaaa,40.0,29,227,905,227,905,552,13,2,
