id,name,age,gender,wrist_width,physical_pin,haptic_x,haptic_y,visual_x,visual_y,dist,trial_id,expected_ans,ans
0,jg,23,M,37.0,29,495,678,495,678,292,1,2,
1,jg,23,M,37.0,29,382,864,185,649,292,1,2,2
2,jg,23,M,37.0,29,548,712,548,712,292,2,2,
3,jg,23,M,37.0,29,482,906,323,661,292,2,2,2
4,jg,23,M,37.0,29,165,649,366,574,215,3,1,
5,jg,23,M,37.0,29,160,897,160,897,215,3,1,1
6,jg,23,M,37.0,29,441,898,441,898,215,4,2,
7,jg,23,M,37.0,29,584,726,601,940,215,4,2,2
8,jg,23,M,37.0,29,495,910,363,871,138,5,1,
9,jg,23,M,37.0,29,221,779,221,779,138,5,1,1
10,jg,23,M,37.0,29,601,645,465,620,138,6,1,
11,jg,23,M,37.0,29,457,868,457,868,138,6,1,2
12,jg,23,M,37.0,29,448,653,601,805,215,7,1,
13,jg,23,M,37.0,29,422,922,422,922,215,7,1,1
14,jg,23,M,37.0,29,197,651,397,572,215,8,1,
15,jg,23,M,37.0,29,537,649,537,649,215,8,1,1
16,jg,23,M,37.0,29,168,656,168,656,138,9,2,
17,jg,23,M,37.0,29,164,924,282,853,138,9,2,1
18,jg,23,M,37.0,29,178,657,178,657,215,10,2,
19,jg,23,M,37.0,29,180,926,363,814,215,10,2,2
20,jg,23,M,37.0,29,512,801,482,588,215,11,1,
21,jg,23,M,37.0,29,163,650,163,650,215,11,1,1
22,jg,23,M,37.0,29,201,881,222,745,138,12,1,
23,jg,23,M,37.0,29,439,790,439,790,138,12,1,2
24,jg,23,M,37.0,29,240,762,400,687,177,13,1,
25,jg,23,M,37.0,29,377,912,377,912,177,13,1,1
26,jg,23,M,37.0,29,629,1000,537,849,177,14,1,
27,jg,23,M,37.0,29,479,745,479,745,177,14,1,2
28,jg,23,M,37.0,29,621,914,416,849,215,15,1,
29,jg,23,M,37.0,29,575,652,575,652,215,15,1,2
30,jg,23,M,37.0,29,203,641,203,641,254,16,2,
31,jg,23,M,37.0,29,152,923,382,816,254,16,2,2
32,jg,23,M,37.0,29,267,695,267,695,254,17,2,
33,jg,23,M,37.0,29,309,893,234,651,254,17,2,2
34,jg,23,M,37.0,29,235,672,444,620,215,18,1,
35,jg,23,M,37.0,29,278,865,278,865,215,18,1,1
36,jg,23,M,37.0,29,255,676,255,676,215,19,2,
37,jg,23,M,37.0,29,157,919,347,818,215,19,2,2
38,jg,23,M,37.0,29,322,741,244,583,177,20,1,
39,jg,23,M,37.0,29,187,924,187,924,177,20,1,1
40,jg,23,M,37.0,29,415,828,377,656,177,21,1,
41,jg,23,M,37.0,29,166,932,166,932,177,21,1,1
42,jg,23,M,37.0,29,548,954,412,931,138,22,1,
43,jg,23,M,37.0,29,378,845,378,845,138,22,1,2
44,jg,23,M,37.0,29,240,693,240,693,177,23,2,
45,jg,23,M,37.0,29,181,908,342,835,177,23,2,2
46,jg,23,M,37.0,29,175,676,328,588,177,24,1,
47,jg,23,M,37.0,29,614,727,614,727,177,24,1,2
48,jg,23,M,37.0,29,561,919,469,724,215,25,1,
49,jg,23,M,37.0,29,332,878,332,878,215,25,1,1
50,jg,23,M,37.0,29,288,669,288,669,215,26,2,
51,jg,23,M,37.0,29,354,911,303,702,215,26,2,2
52,jg,23,M,37.0,29,365,694,365,694,177,27,2,
53,jg,23,M,37.0,29,167,908,267,762,177,27,2,2
54,jg,23,M,37.0,29,456,857,283,823,177,28,1,
55,jg,23,M,37.0,29,194,918,194,918,177,28,1,1
56,jg,23,M,37.0,29,312,690,312,690,138,29,2,
57,jg,23,M,37.0,29,593,683,467,626,138,29,2,2
58,jg,23,M,37.0,29,582,919,582,919,138,30,2,
59,jg,23,M,37.0,29,167,648,283,573,138,30,2,2
60,jg,23,M,37.0,29,494,648,559,573,100,31,1,
61,jg,23,M,37.0,29,310,882,310,882,100,31,1,2
62,jg,23,M,37.0,29,176,654,176,654,138,32,2,
63,jg,23,M,37.0,29,556,732,441,656,138,32,2,2
64,jg,23,M,37.0,29,496,921,394,828,138,33,1,
65,jg,23,M,37.0,29,614,699,614,699,138,33,1,2
66,jg,23,M,37.0,29,413,701,533,572,177,34,1,
67,jg,23,M,37.0,29,485,886,485,886,177,34,1,1
68,jg,23,M,37.0,29,459,669,459,669,177,35,2,
69,jg,23,M,37.0,29,558,834,540,658,177,35,2,1
70,jg,23,M,37.0,29,486,657,486,657,215,36,2,
71,jg,23,M,37.0,29,332,804,271,598,215,36,2,1
72,jg,23,M,37.0,29,617,650,368,605,254,37,1,
73,jg,23,M,37.0,29,546,915,546,915,254,37,1,2
74,jg,23,M,37.0,29,588,723,588,723,292,38,2,
75,jg,23,M,37.0,29,569,918,537,628,292,38,2,2
76,jg,23,M,37.0,29,537,668,537,668,292,39,2,
77,jg,23,M,37.0,29,443,870,169,769,292,39,2,2
78,jg,23,M,37.0,29,174,997,174,997,273,40,2,
79,jg,23,M,37.0,29,521,794,357,576,273,40,2,2
80,jg,23,M,37.0,29,223,921,455,777,273,41,1,
81,jg,23,M,37.0,29,167,705,167,705,273,41,1,1
82,jg,23,M,37.0,29,602,885,602,885,254,42,2,
83,jg,23,M,37.0,29,558,649,599,899,254,42,2,2
84,jg,23,M,37.0,29,471,875,219,851,254,43,1,
85,jg,23,M,37.0,29,363,714,363,714,254,43,1,2
86,jg,23,M,37.0,29,585,959,585,959,273,44,2,
87,jg,23,M,37.0,29,304,1001,166,765,273,44,2,2
88,jg,23,M,37.0,29,408,785,167,657,273,45,1,
89,jg,23,M,37.0,29,557,917,557,917,273,45,1,2
90,jg,23,M,37.0,29,340,699,340,699,292,46,2,
91,jg,23,M,37.0,29,524,897,292,720,292,46,2,2
92,jg,23,M,37.0,29,173,935,173,935,292,47,2,
93,jg,23,M,37.0,29,449,1010,166,938,292,47,2,2
94,jg,23,M,37.0,29,474,793,261,623,273,48,1,
95,jg,23,M,37.0,29,168,643,168,643,273,48,1,2
96,jg,23,M,37.0,29,336,835,336,835,292,49,2,
97,jg,23,M,37.0,29,575,1040,306,926,292,49,2,2
98,jg,23,M,37.0,29,227,647,227,647,292,50,2,
99,jg,23,M,37.0,29,157,898,293,640,292,50,2,2
100,jg,23,M,37.0,29,602,876,332,839,273,51,1,
101,jg,23,M,37.0,29,440,682,440,682,273,51,1,2
102,jg,23,M,37.0,80,547,880,546,653,227,1,1,
103,jg,23,M,37.0,80,190,689,190,689,227,1,1,2
104,jg,23,M,37.0,80,564,672,564,672,355,2,2,
105,jg,23,M,37.0,80,451,862,194,617,355,2,2,2
106,jg,23,M,37.0,80,608,739,608,739,355,3,2,
107,jg,23,M,37.0,80,531,674,349,979,355,3,2,2
108,jg,23,M,37.0,80,187,890,187,890,227,4,2,
109,jg,23,M,37.0,80,381,762,194,634,227,4,2,2
110,jg,23,M,37.0,80,574,675,576,902,227,5,1,
111,jg,23,M,37.0,80,343,887,343,887,227,5,1,1
112,jg,23,M,37.0,80,354,689,354,689,99,6,2,
113,jg,23,M,37.0,80,369,886,280,843,99,6,2,1
114,jg,23,M,37.0,80,387,690,575,818,227,7,1,
115,jg,23,M,37.0,80,290,887,290,887,227,7,1,1
116,jg,23,M,37.0,80,215,692,422,598,227,8,1,
117,jg,23,M,37.0,80,559,981,559,981,227,8,1,1
118,jg,23,M,37.0,80,536,685,440,662,99,9,1,
119,jg,23,M,37.0,80,627,907,627,907,99,9,1,1
120,jg,23,M,37.0,80,446,742,403,653,99,10,1,
121,jg,23,M,37.0,80,179,843,179,843,99,10,1,2
122,jg,23,M,37.0,80,530,770,343,641,227,11,1,
123,jg,23,M,37.0,80,244,948,244,948,227,11,1,1
124,jg,23,M,37.0,80,413,720,413,720,227,12,2,
125,jg,23,M,37.0,80,331,909,193,729,227,12,2,2
126,jg,23,M,37.0,80,323,684,462,599,163,13,1,
127,jg,23,M,37.0,80,566,958,566,958,163,13,1,1
128,jg,23,M,37.0,80,244,939,244,939,163,14,2,
129,jg,23,M,37.0,80,639,695,576,845,163,14,2,2
130,jg,23,M,37.0,80,580,880,540,789,99,15,1,
131,jg,23,M,37.0,80,190,684,190,684,99,15,1,1
132,jg,23,M,37.0,80,628,884,530,874,99,16,1,
133,jg,23,M,37.0,80,191,689,191,689,99,16,1,2
134,jg,23,M,37.0,80,538,1019,400,932,163,17,1,
135,jg,23,M,37.0,80,218,799,218,799,163,17,1,1
136,jg,23,M,37.0,80,532,902,532,902,163,18,2,
137,jg,23,M,37.0,80,418,729,515,598,163,18,2,2
138,jg,23,M,37.0,80,533,889,533,889,99,19,2,
139,jg,23,M,37.0,80,200,786,228,691,99,19,2,2
140,jg,23,M,37.0,80,566,1034,482,981,99,20,1,
141,jg,23,M,37.0,80,527,751,527,751,99,20,1,2
142,jg,23,M,37.0,80,361,862,308,708,163,21,1,
143,jg,23,M,37.0,80,187,911,187,911,163,21,1,1
144,jg,23,M,37.0,80,496,829,492,666,163,22,1,
145,jg,23,M,37.0,80,204,865,204,865,163,22,1,1
