id,name,age,gender,wrist_width,physical_pin,haptic_x,haptic_y,visual_x,visual_y,dist,trial_id,expected_ans,ans
0,jxw,jxw,jxw,39.0,-22,315,936,315,936,291,1,2,
1,jxw,jxw,jxw,39.0,-22,231,646,506,550,291,1,2,2
2,jxw,jxw,jxw,39.0,-22,270,880,270,880,291,2,2,
3,jxw,jxw,jxw,39.0,-22,632,628,624,919,291,2,2,2
4,jxw,jxw,jxw,39.0,-22,600,941,360,829,265,3,1,
5,jxw,jxw,jxw,39.0,-22,646,647,646,647,265,3,1,1
6,jxw,jxw,jxw,39.0,-22,276,779,143,550,265,4,1,
7,jxw,jxw,jxw,39.0,-22,307,949,307,949,265,4,1,1
8,jxw,jxw,jxw,39.0,-22,236,759,236,759,239,5,2,
9,jxw,jxw,jxw,39.0,-22,141,923,226,700,239,5,2,2
10,jxw,jxw,jxw,39.0,-22,617,624,625,863,239,6,1,
11,jxw,jxw,jxw,39.0,-22,330,749,330,749,239,6,1,1
12,jxw,jxw,jxw,39.0,-22,491,945,315,825,213,7,1,
13,jxw,jxw,jxw,39.0,-22,489,722,489,722,213,7,1,1
14,jxw,jxw,jxw,39.0,-22,313,846,156,702,213,8,1,
15,jxw,jxw,jxw,39.0,-22,268,662,268,662,213,8,1,2
16,jxw,jxw,jxw,39.0,-22,348,940,348,940,239,9,2,
17,jxw,jxw,jxw,39.0,-22,488,773,252,734,239,9,2,2
18,jxw,jxw,jxw,39.0,-22,389,937,152,907,239,10,1,
19,jxw,jxw,jxw,39.0,-22,230,650,230,650,239,10,1,1
20,jxw,jxw,jxw,39.0,-22,592,742,472,566,213,11,1,
21,jxw,jxw,jxw,39.0,-22,332,898,332,898,213,11,1,1
22,jxw,jxw,jxw,39.0,-22,159,672,355,589,213,12,1,
23,jxw,jxw,jxw,39.0,-22,251,986,251,986,213,12,1,1
24,jxw,jxw,jxw,39.0,-22,429,725,243,711,187,13,1,
25,jxw,jxw,jxw,39.0,-22,398,941,398,941,187,13,1,1
26,jxw,jxw,jxw,39.0,-22,162,823,162,823,187,14,2,
27,jxw,jxw,jxw,39.0,-22,625,766,560,591,187,14,2,2
28,jxw,jxw,jxw,39.0,-22,546,943,546,943,161,15,2,
29,jxw,jxw,jxw,39.0,-22,380,735,219,724,161,15,2,1
30,jxw,jxw,jxw,39.0,-22,458,913,458,913,187,16,2,
31,jxw,jxw,jxw,39.0,-22,502,720,349,612,187,16,2,2
32,jxw,jxw,jxw,39.0,-22,460,918,460,918,187,17,2,
33,jxw,jxw,jxw,39.0,-22,578,670,391,666,187,17,2,1
34,jxw,jxw,jxw,39.0,-22,497,915,289,869,213,18,1,
35,jxw,jxw,jxw,39.0,-22,611,671,611,671,213,18,1,1
36,jxw,jxw,jxw,39.0,-22,563,1002,563,1002,213,19,2,
37,jxw,jxw,jxw,39.0,-22,206,1040,419,1031,213,19,2,2
38,jxw,jxw,jxw,39.0,-22,628,629,624,816,187,20,1,
39,jxw,jxw,jxw,39.0,-22,441,684,441,684,187,20,1,1
40,jxw,jxw,jxw,39.0,-22,600,860,428,786,187,21,1,
41,jxw,jxw,jxw,39.0,-22,301,896,301,896,187,21,1,1
42,jxw,jxw,jxw,39.0,-22,202,647,202,647,161,22,2,
43,jxw,jxw,jxw,39.0,-22,481,745,443,588,161,22,2,1
