id,name,age,gender,wrist_width,physical_pin,haptic_x,haptic_y,visual_x,visual_y,dist,trial_id,expected_ans,ans
0,lzx2,23,F,44.0,-22,536,681,536,681,304,1,2,
1,lzx2,23,F,44.0,-22,285,848,193,558,304,1,2,2
2,lzx2,23,F,44.0,-22,211,661,496,604,291,2,1,
3,lzx2,23,F,44.0,-22,593,663,593,663,291,2,1,1
4,lzx2,23,F,44.0,-22,240,681,240,681,291,3,2,
5,lzx2,23,F,44.0,-22,615,983,327,943,291,3,2,1
6,lzx2,23,F,44.0,-22,527,684,527,684,304,4,2,
7,lzx2,23,F,44.0,-22,580,927,283,861,304,4,2,1
8,lzx2,23,F,44.0,-22,624,720,340,580,317,5,1,
9,lzx2,23,F,44.0,-22,521,897,521,897,317,5,1,2
10,lzx2,23,F,44.0,-22,140,730,459,645,330,6,1,
11,lzx2,23,F,44.0,-22,636,641,636,641,330,6,1,1
12,lzx2,23,F,44.0,-22,604,830,604,830,330,7,2,
13,lzx2,23,F,44.0,-22,478,673,161,580,330,7,2,1
14,lzx2,23,F,44.0,-22,638,940,369,727,343,8,1,
15,lzx2,23,F,44.0,-22,213,901,213,901,343,8,1,1
