id,name,age,gender,wrist_width,physical_pin,haptic_x,haptic_y,visual_x,visual_y,dist,trial_id,expected_ans,ans
0,lzx6,lzx6,lzx6,44.0,-22,298,645,298,645,369,1,2,
1,lzx6,lzx6,lzx6,44.0,-22,286,921,195,563,369,1,2,2
2,lzx6,lzx6,lzx6,44.0,-22,384,700,384,700,363,2,2,
3,lzx6,lzx6,lzx6,44.0,-22,558,875,350,578,363,2,2,2
4,lzx6,lzx6,lzx6,44.0,-22,413,699,413,699,363,3,2,
5,lzx6,lzx6,lzx6,44.0,-22,596,876,371,592,363,3,2,2
6,lzx6,lzx6,lzx6,44.0,-22,145,1044,280,715,356,4,1,
7,lzx6,lzx6,lzx6,44.0,-22,380,956,380,956,356,4,1,1
8,lzx6,lzx6,lzx6,44.0,-22,230,736,575,647,356,5,1,
9,lzx6,lzx6,lzx6,44.0,-22,484,812,484,812,356,5,1,1
