id,name,age,gender,wrist_width,physical_pin,haptic_x,haptic_y,visual_x,visual_y,dist,trial_id,expected_ans,ans
0,lzx,23,F,44.0,-22,570,644,570,644,226,1,2,
1,lzx,23,F,44.0,-22,235,991,252,766,226,1,2,2
2,lzx,23,F,44.0,-22,462,921,290,775,226,2,1,
3,lzx,23,F,44.0,-22,158,759,158,759,226,2,1,1
4,lzx,23,F,44.0,-22,355,901,167,833,200,3,1,
5,lzx,23,F,44.0,-22,444,667,444,667,200,3,1,2
6,lzx,23,F,44.0,-22,467,869,241,869,226,4,1,
7,lzx,23,F,44.0,-22,546,654,546,654,226,4,1,2
8,lzx,23,F,44.0,-22,240,843,321,604,252,5,1,
9,lzx,23,F,44.0,-22,593,964,593,964,252,5,1,1
10,lzx,23,F,44.0,-22,571,655,326,597,252,6,1,
11,lzx,23,F,44.0,-22,298,907,298,907,252,6,1,1
12,lzx,23,F,44.0,-22,390,701,390,701,226,7,2,
13,lzx,23,F,44.0,-22,507,879,303,782,226,7,2,1
14,lzx,23,F,44.0,-22,377,668,145,570,252,8,1,
15,lzx,23,F,44.0,-22,290,839,290,839,252,8,1,2
16,lzx,23,F,44.0,-22,242,658,500,554,278,9,1,
17,lzx,23,F,44.0,-22,597,628,597,628,278,9,1,1
18,lzx,23,F,44.0,-22,583,871,583,871,278,10,2,
19,lzx,23,F,44.0,-22,635,654,376,552,278,10,2,1
20,lzx,23,F,44.0,-22,342,867,293,567,304,11,1,
21,lzx,23,F,44.0,-22,550,884,550,884,304,11,1,1
22,lzx,23,F,44.0,-22,396,667,396,667,304,12,2,
23,lzx,23,F,44.0,-22,564,762,292,626,304,12,2,2
24,lzx,23,F,44.0,-22,358,910,200,682,278,13,1,
25,lzx,23,F,44.0,-22,602,857,602,857,278,13,1,2
26,lzx,23,F,44.0,-22,290,850,166,587,291,14,1,
27,lzx,23,F,44.0,-22,236,658,236,658,291,14,1,2
28,lzx,23,F,44.0,-22,369,939,258,656,304,15,1,
29,lzx,23,F,44.0,-22,190,876,190,876,304,15,1,1
