id,name,age,gender,wrist_width,physical_pin,haptic_x,haptic_y,visual_x,visual_y,dist,trial_id,expected_ans,ans
0,sss,ss,ss,40.0,-22,179,847,362,629,285,1,1,
1,sss,ss,ss,40.0,-22,623,639,623,639,285,1,1,1
2,sss,ss,ss,40.0,-22,446,867,446,867,311,2,2,
3,sss,ss,ss,40.0,-22,536,653,622,952,311,2,2,1
4,sss,ss,ss,40.0,-22,317,701,589,550,311,3,1,
5,sss,ss,ss,40.0,-22,185,917,185,917,311,3,1,2
6,sss,ss,ss,40.0,-22,272,708,509,549,285,4,1,
7,sss,ss,ss,40.0,-22,188,932,188,932,285,4,1,2
8,sss,ss,ss,40.0,-22,566,1014,566,1014,285,5,2,
9,sss,ss,ss,40.0,-22,456,713,623,944,285,5,2,2
10,sss,ss,ss,40.0,-22,444,909,444,909,311,6,2,
11,sss,ss,ss,40.0,-22,463,716,626,981,311,6,2,2
12,sss,ss,ss,40.0,-22,426,923,352,594,337,7,1,
13,sss,ss,ss,40.0,-22,398,651,398,651,337,7,1,1
14,sss,ss,ss,40.0,-22,433,881,433,881,363,8,2,
15,sss,ss,ss,40.0,-22,215,623,571,551,363,8,2,2
16,sss,ss,ss,40.0,-22,293,948,293,948,389,9,2,
17,sss,ss,ss,40.0,-22,224,688,587,549,389,9,2,2
18,sss,ss,ss,40.0,-22,225,907,225,907,415,10,2,
19,sss,ss,ss,40.0,-22,517,892,143,712,415,10,2,2
20,sss,ss,ss,40.0,-22,583,684,583,684,441,11,2,
21,sss,ss,ss,40.0,-22,623,945,190,862,441,11,2,1
22,sss,ss,ss,40.0,-22,308,904,308,904,441,12,2,
23,sss,ss,ss,40.0,-22,562,658,325,1030,441,12,2,2
24,sss,ss,ss,40.0,-22,588,955,588,955,467,13,2,
25,sss,ss,ss,40.0,-22,515,720,165,1029,467,13,2,1
26,sss,ss,ss,40.0,-22,177,621,626,751,467,14,1,
27,sss,ss,ss,40.0,-22,597,644,597,644,467,14,1,1
28,sss,ss,ss,40.0,-22,458,745,458,745,493,15,2,
29,sss,ss,ss,40.0,-22,461,953,143,576,493,15,2,1
30,sss,ss,ss,40.0,-22,267,725,267,725,493,16,2,
31,sss,ss,ss,40.0,-22,193,955,541,606,493,16,2,1
32,sss,ss,ss,40.0,-22,223,909,223,909,467,17,2,
33,sss,ss,ss,40.0,-22,478,630,240,1032,467,17,2,2
