id,name,age,gender,wrist_width,physical_pin,haptic_x,haptic_y,visual_x,visual_y,dist,trial_id,expected_ans,ans
0,xfj,24,M,46.0,29,456,774,456,774,241,1,2,
1,xfj,24,M,46.0,29,165,951,385,853,241,1,2,2
2,xfj,24,M,46.0,29,287,712,484,573,241,2,1,
3,xfj,24,M,46.0,29,237,896,237,896,241,2,1,1
4,xfj,24,M,46.0,29,350,679,189,649,164,3,1,
5,xfj,24,M,46.0,29,539,845,539,845,164,3,1,2
6,xfj,24,M,46.0,29,228,1020,228,1020,241,4,2,
7,xfj,24,M,46.0,29,621,918,556,686,241,4,2,2
8,xfj,24,M,46.0,29,649,668,600,904,241,5,1,
9,xfj,24,M,46.0,29,301,840,301,840,241,5,1,1
10,xfj,24,M,46.0,29,554,982,554,982,164,6,2,
11,xfj,24,M,46.0,29,268,660,408,574,164,6,2,2
12,xfj,24,M,46.0,29,418,867,261,820,164,7,1,
13,xfj,24,M,46.0,29,490,680,490,680,164,7,1,2
14,xfj,24,M,46.0,29,423,869,423,869,241,8,2,
15,xfj,24,M,46.0,29,424,680,191,619,241,8,2,1
16,xfj,24,M,46.0,29,587,831,269,824,318,9,1,
17,xfj,24,M,46.0,29,183,929,183,929,318,9,1,1
18,xfj,24,M,46.0,29,171,680,472,577,318,10,1,
19,xfj,24,M,46.0,29,620,916,620,916,318,10,1,2
20,xfj,24,M,46.0,29,524,715,524,715,395,11,2,
21,xfj,24,M,46.0,29,455,899,167,629,395,11,2,1
22,xfj,24,M,46.0,29,234,863,234,863,472,12,2,
23,xfj,24,M,46.0,29,200,671,599,923,472,12,2,2
24,xfj,24,M,46.0,29,160,917,160,917,472,13,2,
