id,name,age,gender,wrist_width,physical_pin,haptic_x,haptic_y,visual_x,visual_y,dist,trial_id,expected_ans,ans
0,WJX3,WJX3,WJX3,44.0,80,285,831,193,742,128,1,1,
1,WJX3,WJX3,WJX3,44.0,80,574,706,574,706,128,1,1,1
2,WJX3,WJX3,WJX3,44.0,80,195,686,360,661,167,2,1,
3,WJX3,WJX3,WJX3,44.0,80,190,898,190,898,167,2,1,2
4,WJX3,WJX3,WJX3,44.0,80,488,927,488,927,167,3,2,
5,WJX3,WJX3,WJX3,44.0,80,388,720,246,633,167,3,2,1
6,WJX3,WJX3,WJX3,44.0,80,593,692,446,691,147,4,1,
7,WJX3,WJX3,WJX3,44.0,80,271,719,271,719,147,4,1,2
8,WJX3,WJX3,WJX3,44.0,80,444,808,444,808,147,5,2,
9,WJX3,WJX3,WJX3,44.0,80,270,879,232,737,147,5,2,2
10,WJX3,WJX3,WJX3,44.0,80,545,979,545,979,167,6,2,
11,WJX3,WJX3,WJX3,44.0,80,611,768,576,931,167,6,2,1
12,WJX3,WJX3,WJX3,44.0,80,203,678,350,600,167,7,1,
13,WJX3,WJX3,WJX3,44.0,80,393,793,393,793,167,7,1,2
14,WJX3,WJX3,WJX3,44.0,80,203,1037,262,902,147,8,1,
15,WJX3,WJX3,WJX3,44.0,80,477,820,477,820,147,8,1,2
16,WJX3,WJX3,WJX3,44.0,80,625,699,492,637,147,9,1,
17,WJX3,WJX3,WJX3,44.0,80,202,691,202,691,147,9,1,2
18,WJX3,WJX3,WJX3,44.0,80,333,826,333,826,128,10,2,
19,WJX3,WJX3,WJX3,44.0,80,190,694,311,653,128,10,2,1
20,WJX3,WJX3,WJX3,44.0,80,217,899,345,892,128,11,1,
21,WJX3,WJX3,WJX3,44.0,80,483,848,483,848,128,11,1,2
22,WJX3,WJX3,WJX3,44.0,80,615,707,506,701,109,12,1,
23,WJX3,WJX3,WJX3,44.0,80,209,690,209,690,109,12,1,2
24,WJX3,WJX3,WJX3,44.0,80,572,754,569,645,109,13,1,
25,WJX3,WJX3,WJX3,44.0,80,387,807,387,807,109,13,1,1
26,WJX3,WJX3,WJX3,44.0,80,201,695,201,695,128,14,2,
27,WJX3,WJX3,WJX3,44.0,80,300,869,229,762,128,14,2,1
28,WJX3,WJX3,WJX3,44.0,80,501,798,382,750,128,15,1,
29,WJX3,WJX3,WJX3,44.0,80,221,689,221,689,128,15,1,1
30,WJX3,WJX3,WJX3,44.0,80,407,754,407,754,147,16,2,
31,WJX3,WJX3,WJX3,44.0,80,591,823,538,686,147,16,2,2
32,WJX3,WJX3,WJX3,44.0,80,252,768,280,604,167,17,1,
33,WJX3,WJX3,WJX3,44.0,80,596,692,596,692,167,17,1,2
34,WJX3,WJX3,WJX3,44.0,80,365,782,202,749,167,18,1,
35,WJX3,WJX3,WJX3,44.0,80,557,1024,557,1024,167,18,1,2
36,WJX3,WJX3,WJX3,44.0,80,566,731,466,623,147,19,1,
37,WJX3,WJX3,WJX3,44.0,80,198,686,198,686,147,19,1,2
38,WJX3,WJX3,WJX3,44.0,80,181,885,181,885,147,20,2,
39,WJX3,WJX3,WJX3,44.0,80,229,700,336,599,147,20,2,1
40,WJX3,WJX3,WJX3,44.0,80,427,810,409,683,128,21,1,
41,WJX3,WJX3,WJX3,44.0,80,260,730,260,730,128,21,1,2
42,WJX3,WJX3,WJX3,44.0,80,598,878,569,753,128,22,1,
43,WJX3,WJX3,WJX3,44.0,80,217,821,217,821,128,22,1,2
44,WJX3,WJX3,WJX3,44.0,80,566,923,564,814,109,23,1,
45,WJX3,WJX3,WJX3,44.0,80,407,717,407,717,109,23,1,1
46,WJX3,WJX3,WJX3,44.0,-22,347,909,217,747,208,1,1,
47,WJX3,WJX3,WJX3,44.0,-22,290,681,290,681,208,1,1,2
48,WJX3,WJX3,WJX3,44.0,-22,363,913,317,710,208,2,1,
49,WJX3,WJX3,WJX3,44.0,-22,605,1045,605,1045,208,2,1,2
50,WJX3,WJX3,WJX3,44.0,-22,208,1016,312,937,131,3,1,
51,WJX3,WJX3,WJX3,44.0,-22,571,997,571,997,131,3,1,2
52,WJX3,WJX3,WJX3,44.0,-22,527,763,448,658,131,4,1,
53,WJX3,WJX3,WJX3,44.0,-22,172,637,172,637,131,4,1,2
54,WJX3,WJX3,WJX3,44.0,-22,555,891,511,860,54,5,1,
55,WJX3,WJX3,WJX3,44.0,-22,346,815,346,815,54,5,1,1
56,WJX3,WJX3,WJX3,44.0,-22,439,642,530,548,131,6,1,
57,WJX3,WJX3,WJX3,44.0,-22,358,848,358,848,131,6,1,1
58,WJX3,WJX3,WJX3,44.0,-22,486,660,486,660,208,7,2,
59,WJX3,WJX3,WJX3,44.0,-22,478,880,397,688,208,7,2,1
60,WJX3,WJX3,WJX3,44.0,-22,302,762,297,554,208,8,1,
61,WJX3,WJX3,WJX3,44.0,-22,131,903,131,903,208,8,1,2
62,WJX3,WJX3,WJX3,44.0,-22,253,726,253,726,131,9,2,
63,WJX3,WJX3,WJX3,44.0,-22,226,941,297,831,131,9,2,1
64,WJX3,WJX3,WJX3,44.0,-22,260,734,260,734,131,10,2,
65,WJX3,WJX3,WJX3,44.0,-22,624,983,499,943,131,10,2,2
66,WJX3,WJX3,WJX3,44.0,-22,569,740,438,578,208,11,1,
67,WJX3,WJX3,WJX3,44.0,-22,273,942,273,942,208,11,1,2
68,WJX3,WJX3,WJX3,44.0,-22,154,750,273,580,208,12,1,
69,WJX3,WJX3,WJX3,44.0,-22,531,1045,531,1045,208,12,1,2
70,WJX3,WJX3,WJX3,44.0,-22,192,944,192,944,131,13,2,
71,WJX3,WJX3,WJX3,44.0,-22,594,775,502,681,131,13,2,1
72,WJX3,WJX3,WJX3,44.0,-22,430,649,430,649,131,14,2,
73,WJX3,WJX3,WJX3,44.0,-22,474,850,431,726,131,14,2,2
74,WJX3,WJX3,WJX3,44.0,-22,196,635,196,635,170,15,2,
75,WJX3,WJX3,WJX3,44.0,-22,608,983,511,844,170,15,2,2
76,WJX3,WJX3,WJX3,44.0,-22,571,633,625,834,208,16,1,
77,WJX3,WJX3,WJX3,44.0,-22,193,701,193,701,208,16,1,2
78,WJX3,WJX3,WJX3,44.0,-22,618,649,618,649,208,17,2,
79,WJX3,WJX3,WJX3,44.0,-22,559,923,534,717,208,17,2,2
80,WJX3,WJX3,WJX3,44.0,-22,209,853,369,665,247,18,1,
81,WJX3,WJX3,WJX3,44.0,-22,377,938,377,938,247,18,1,2
82,WJX3,WJX3,WJX3,44.0,-22,471,743,471,743,247,19,2,
83,WJX3,WJX3,WJX3,44.0,-22,615,889,379,817,247,19,2,1
84,WJX3,WJX3,WJX3,44.0,-22,388,931,388,931,208,20,2,
85,WJX3,WJX3,WJX3,44.0,-22,556,745,368,656,208,20,2,2
86,WJX3,WJX3,WJX3,44.0,-22,598,922,398,778,247,21,1,
87,WJX3,WJX3,WJX3,44.0,-22,203,640,203,640,247,21,1,2
88,WJX3,WJX3,WJX3,44.0,-22,521,643,521,643,247,22,2,
89,WJX3,WJX3,WJX3,44.0,-22,148,644,376,550,247,22,2,2
90,WJX3,WJX3,WJX3,44.0,-22,567,1008,567,1008,285,23,2,
91,WJX3,WJX3,WJX3,44.0,-22,294,626,569,550,285,23,2,2
92,WJX3,WJX3,WJX3,44.0,-22,583,695,626,1016,324,24,1,
93,WJX3,WJX3,WJX3,44.0,-22,432,846,432,846,324,24,1,2
94,WJX3,WJX3,WJX3,44.0,-22,492,652,492,652,324,25,2,
95,WJX3,WJX3,WJX3,44.0,-22,385,805,584,550,324,25,2,1
96,WJX3,WJX3,WJX3,44.0,-22,496,646,624,901,285,26,1,
97,WJX3,WJX3,WJX3,44.0,-22,317,909,317,909,285,26,1,2
98,WJX3,WJX3,WJX3,44.0,-22,537,884,324,695,285,27,1,
99,WJX3,WJX3,WJX3,44.0,-22,151,660,151,660,285,27,1,2
100,WJX3,WJX3,WJX3,44.0,-22,184,638,415,552,247,28,1,
101,WJX3,WJX3,WJX3,44.0,-22,261,873,261,873,247,28,1,2
102,WJX3,WJX3,WJX3,44.0,-22,155,696,353,550,247,29,1,
103,WJX3,WJX3,WJX3,44.0,-22,221,1040,221,1040,247,29,1,2
104,WJX3,WJX3,WJX3,44.0,-22,340,770,340,770,208,30,2,
105,WJX3,WJX3,WJX3,44.0,-22,527,677,332,604,208,30,2,2
106,WJX3,WJX3,WJX3,44.0,-22,523,934,384,730,247,31,1,
107,WJX3,WJX3,WJX3,44.0,-22,411,663,411,663,247,31,1,1
108,WJX3,WJX3,WJX3,44.0,-22,499,883,499,883,285,32,2,
109,WJX3,WJX3,WJX3,44.0,-22,553,678,285,580,285,32,2,1
110,WJX3,WJX3,WJX3,44.0,-22,539,899,427,637,285,33,1,
111,WJX3,WJX3,WJX3,44.0,-22,615,678,615,678,285,33,1,2
112,WJX3,WJX3,WJX3,44.0,-22,480,831,480,831,266,34,2,
113,WJX3,WJX3,WJX3,44.0,-22,146,958,409,922,266,34,2,1
114,WJX3,WJX3,WJX3,44.0,-22,493,1035,281,875,266,35,1,
115,WJX3,WJX3,WJX3,44.0,-22,543,703,543,703,266,35,1,1
