id,name,age,gender,wrist_width,physical_pin,haptic_x,haptic_y,visual_x,visual_y,dist,trial_id,expected_ans,ans
0,WJX,22,22,44.0,80,405,746,405,746,322,1,2,
1,WJX,22,22,44.0,80,579,885,272,981,322,1,2,2
2,WJX,22,22,44.0,80,544,683,544,683,284,2,2,
3,WJX,22,22,44.0,80,328,723,574,863,284,2,2,1
4,WJX,22,22,44.0,80,605,737,605,737,284,3,2,
5,WJX,22,22,44.0,80,200,686,470,599,284,3,2,1
6,WJX,22,22,44.0,80,379,821,379,821,245,4,2,
7,WJX,22,22,44.0,80,631,692,576,931,245,4,2,2
8,WJX,22,22,44.0,80,291,771,406,599,207,5,1,
9,WJX,22,22,44.0,80,576,905,576,905,207,5,1,2
10,WJX,22,22,44.0,80,395,778,395,778,207,6,2,
11,WJX,22,22,44.0,80,189,919,264,727,207,6,2,1
12,WJX,22,22,44.0,80,606,688,606,688,168,7,2,
13,WJX,22,22,44.0,80,490,864,335,800,168,7,2,1
14,WJX,22,22,44.0,80,255,792,255,792,168,8,2,
15,WJX,22,22,44.0,80,470,778,341,670,168,8,2,1
16,WJX,22,22,44.0,80,278,695,278,695,130,9,2,
17,WJX,22,22,44.0,80,381,895,312,786,130,9,2,2
18,WJX,22,22,44.0,80,459,692,385,639,91,10,1,
19,WJX,22,22,44.0,80,405,878,405,878,91,10,1,2
20,WJX,22,22,44.0,80,581,739,581,739,91,11,2,
21,WJX,22,22,44.0,80,188,690,234,612,91,11,2,2
22,WJX,22,22,44.0,80,242,897,248,845,53,12,1,
23,WJX,22,22,44.0,80,543,683,543,683,53,12,1,1
24,WJX,22,22,44.0,80,195,870,209,870,14,13,1,
25,WJX,22,22,44.0,80,467,852,467,852,14,13,1,1
26,WJX,22,22,44.0,80,600,682,600,682,0,14,-1,
27,WJX,22,22,44.0,80,221,751,221,751,0,14,-1,2
28,WJX,22,22,44.0,80,554,742,554,742,0,15,-1,
29,WJX,22,22,44.0,80,197,682,197,682,0,15,-1,2
30,WJX,22,22,44.0,80,285,864,285,864,0,16,-1,
31,WJX,22,22,44.0,80,617,690,617,690,0,16,-1,1
32,WJX,22,22,44.0,80,583,895,583,895,0,17,-1,
33,WJX,22,22,44.0,80,575,686,575,686,0,17,-1,2
34,WJX,22,22,44.0,80,206,686,206,686,0,18,-1,
35,WJX,22,22,44.0,80,586,1038,586,1038,0,18,-1,2
36,WJX,22,22,44.0,80,216,691,216,691,0,19,-1,
37,WJX,22,22,44.0,80,465,701,465,701,0,19,-1,1
38,WJX,22,22,44.0,80,197,693,197,693,0,20,-1,
39,WJX,22,22,44.0,80,580,957,580,957,0,20,-1,1
40,WJX,22,22,44.0,80,208,683,208,683,0,21,-1,
41,WJX,22,22,44.0,80,563,688,563,688,0,21,-1,2
42,WJX,22,22,44.0,80,275,762,275,762,0,22,-1,
43,WJX,22,22,44.0,80,601,695,601,695,0,22,-1,2
44,WJX,22,22,44.0,80,567,887,567,887,0,23,-1,
45,WJX,22,22,44.0,80,318,692,318,692,0,23,-1,1
46,WJX,22,22,44.0,80,305,899,305,899,0,24,-1,
47,WJX,22,22,44.0,80,583,950,583,950,0,24,-1,1
48,WJX,22,22,44.0,80,255,744,255,744,0,25,-1,
49,WJX,22,22,44.0,80,563,809,563,809,0,25,-1,1
50,WJX,22,22,44.0,80,194,971,194,971,0,26,-1,
51,WJX,22,22,44.0,80,357,789,357,789,0,26,-1,1
52,WJX,22,22,44.0,80,200,877,200,877,0,27,-1,
53,WJX,22,22,44.0,80,640,849,640,849,0,27,-1,2
54,WJX,22,22,44.0,80,431,703,431,703,0,28,-1,
55,WJX,22,22,44.0,80,561,867,561,867,0,28,-1,2
56,WJX,22,22,44.0,80,352,1009,352,1009,0,29,-1,
57,WJX,22,22,44.0,80,206,769,206,769,0,29,-1,1
