id,name,age,gender,wrist_width,physical_pin,haptic_x,haptic_y,visual_x,visual_y,dist,trial_id,expected_ans,ans
0,lwq2,24,M,46.0,80,447,845,194,614,342,1,1,
1,lwq2,24,M,46.0,80,623,708,623,708,342,1,1,2
2,lwq2,24,M,46.0,80,356,758,356,758,278,2,2,
3,lwq2,24,M,46.0,80,543,848,347,651,278,2,2,2
4,lwq2,24,M,46.0,80,215,977,215,977,342,3,2,
5,lwq2,24,M,46.0,80,591,706,385,979,342,3,2,1
6,lwq2,24,M,46.0,80,351,868,351,868,342,4,2,
7,lwq2,24,M,46.0,80,197,714,539,708,342,4,2,1
8,lwq2,24,M,46.0,80,448,972,448,972,278,5,2,
9,lwq2,24,M,46.0,80,625,717,541,982,278,5,2,1
10,lwq2,24,M,46.0,80,510,895,299,714,278,6,1,
11,lwq2,24,M,46.0,80,491,691,491,691,278,6,1,1
12,lwq2,24,M,46.0,80,452,874,452,874,342,7,2,
13,lwq2,24,M,46.0,80,621,742,374,978,342,7,2,1
14,lwq2,24,M,46.0,80,447,856,447,856,342,8,2,
15,lwq2,24,M,46.0,80,192,718,534,706,342,8,2,1
16,lwq2,24,M,46.0,80,317,879,317,879,278,9,2,
17,lwq2,24,M,46.0,80,246,702,505,602,278,9,2,1
18,lwq2,24,M,46.0,80,625,887,625,887,278,10,2,
19,lwq2,24,M,46.0,80,194,860,447,744,278,10,2,1
20,lwq2,24,M,46.0,80,591,1035,446,877,214,11,1,
21,lwq2,24,M,46.0,80,205,698,205,698,214,11,1,2
22,lwq2,24,M,46.0,80,195,870,303,685,214,12,1,
23,lwq2,24,M,46.0,80,415,703,415,703,214,12,1,1
24,lwq2,24,M,46.0,80,318,886,193,674,246,13,1,
25,lwq2,24,M,46.0,80,423,720,423,720,246,13,1,1
26,lwq2,24,M,46.0,80,541,876,541,876,278,14,2,
27,lwq2,24,M,46.0,80,614,689,572,964,278,14,2,1
28,lwq2,24,M,46.0,80,559,891,559,891,278,15,2,
29,lwq2,24,M,46.0,80,496,706,574,973,278,15,2,1
30,lwq2,24,M,46.0,80,330,871,195,665,246,16,1,
31,lwq2,24,M,46.0,80,237,696,237,696,246,16,1,2
32,lwq2,24,M,46.0,80,195,874,368,699,246,17,1,
33,lwq2,24,M,46.0,80,435,780,435,780,246,17,1,1
34,lwq2,24,M,46.0,80,209,692,209,692,278,18,2,
35,lwq2,24,M,46.0,80,308,875,241,605,278,18,2,1
36,lwq2,24,M,46.0,80,580,904,364,730,278,19,1,
37,lwq2,24,M,46.0,80,419,792,419,792,278,19,1,1
38,lwq2,24,M,46.0,80,250,689,547,601,310,20,1,
39,lwq2,24,M,46.0,80,205,873,205,873,310,20,1,2
40,lwq2,24,M,46.0,80,574,959,574,959,310,21,2,
41,lwq2,24,M,46.0,80,455,739,258,979,310,21,2,1
42,lwq2,24,M,46.0,80,205,898,205,898,278,22,2,
43,lwq2,24,M,46.0,80,569,702,575,980,278,22,2,1
44,lwq2,24,M,46.0,80,227,694,489,602,278,23,1,
45,lwq2,24,M,46.0,80,495,695,495,695,278,23,1,2
46,lwq2,24,M,46.0,80,204,885,287,654,246,24,1,
47,lwq2,24,M,46.0,80,291,721,291,721,246,24,1,1
48,lwq2,24,M,46.0,80,412,888,412,888,278,25,2,
49,lwq2,24,M,46.0,80,494,708,574,974,278,25,2,1
50,lwq2,24,M,46.0,80,229,840,505,806,278,26,1,
51,lwq2,24,M,46.0,80,542,697,542,697,278,26,1,2
