id,name,age,gender,wrist_width,physical_pin,haptic_x,haptic_y,visual_x,visual_y,dist,trial_id,expected_ans,ans
0,qyz2,24,M,46.0,29,433,900,171,806,278,1,1,
1,qyz2,24,M,46.0,29,559,724,559,724,278,1,1,2
2,qyz2,24,M,46.0,29,169,946,415,816,278,2,1,
3,qyz2,24,M,46.0,29,597,1015,597,1015,278,2,1,2
4,qyz2,24,M,46.0,29,177,947,177,947,201,3,2,
5,qyz2,24,M,46.0,29,400,810,258,668,201,3,2,2
6,qyz2,24,M,46.0,29,267,671,527,572,278,4,1,
7,qyz2,24,M,46.0,29,216,863,216,863,278,4,1,2
8,qyz2,24,M,46.0,29,174,682,174,682,278,5,2,
9,qyz2,24,M,46.0,29,295,840,167,593,278,5,2,1
10,qyz2,24,M,46.0,29,597,1018,511,836,201,6,1,
11,qyz2,24,M,46.0,29,191,835,191,835,201,6,1,1
12,qyz2,24,M,46.0,29,539,904,539,904,278,7,2,
13,qyz2,24,M,46.0,29,210,866,274,596,278,7,2,1
14,qyz2,24,M,46.0,29,209,678,209,678,278,8,2,
15,qyz2,24,M,46.0,29,356,834,192,610,278,8,2,1
16,qyz2,24,M,46.0,29,534,684,600,874,201,9,1,
17,qyz2,24,M,46.0,29,168,971,168,971,201,9,1,2
18,qyz2,24,M,46.0,29,320,754,320,754,201,10,2,
19,qyz2,24,M,46.0,29,485,871,383,698,201,10,2,1
20,qyz2,24,M,46.0,29,322,700,253,597,124,11,1,
21,qyz2,24,M,46.0,29,509,710,509,710,124,11,1,1
22,qyz2,24,M,46.0,29,531,908,531,908,163,12,2,
23,qyz2,24,M,46.0,29,508,697,348,669,163,12,2,2
24,qyz2,24,M,46.0,29,453,906,261,848,201,13,1,
25,qyz2,24,M,46.0,29,599,739,599,739,201,13,1,1
26,qyz2,24,M,46.0,29,260,659,260,659,240,14,2,
27,qyz2,24,M,46.0,29,593,669,365,597,240,14,2,2
28,qyz2,24,M,46.0,29,258,668,520,575,278,15,1,
29,qyz2,24,M,46.0,29,432,871,432,871,278,15,1,2
30,qyz2,24,M,46.0,29,166,1027,432,945,278,16,1,
31,qyz2,24,M,46.0,29,584,948,584,948,278,16,1,2
32,qyz2,24,M,46.0,29,417,702,417,702,240,17,2,
33,qyz2,24,M,46.0,29,175,719,376,589,240,17,2,2
34,qyz2,24,M,46.0,29,462,678,600,919,278,18,1,
35,qyz2,24,M,46.0,29,303,773,303,773,278,18,1,2
36,qyz2,24,M,46.0,29,587,798,587,798,278,19,2,
37,qyz2,24,M,46.0,29,377,768,576,574,278,19,2,1
38,qyz2,24,M,46.0,29,549,851,329,757,240,20,1,
39,qyz2,24,M,46.0,29,191,657,191,657,240,20,1,2
40,qyz2,24,M,46.0,29,595,908,577,669,240,21,1,
41,qyz2,24,M,46.0,29,323,815,323,815,240,21,1,1
42,qyz2,24,M,46.0,29,583,964,583,964,278,22,2,
