id,name,age,gender,wrist_width,physical_pin,haptic_x,haptic_y,visual_x,visual_y,dist,trial_id,expected_ans,ans
0,qyz,qyz,qyz,46.0,-22,139,788,139,788,292,1,2,
1,qyz,qyz,qyz,46.0,-22,376,777,143,600,292,1,2,1
2,qyz,qyz,qyz,46.0,-22,251,924,539,873,292,2,1,
3,qyz,qyz,qyz,46.0,-22,176,746,176,746,292,2,1,1
4,qyz,qyz,qyz,46.0,-22,578,769,578,769,318,3,2,
5,qyz,qyz,qyz,46.0,-22,170,636,476,549,318,3,2,1
6,qyz,qyz,qyz,46.0,-22,509,904,290,674,318,4,1,
7,qyz,qyz,qyz,46.0,-22,426,652,426,652,318,4,1,2
8,qyz,qyz,qyz,46.0,-22,255,912,255,912,292,5,2,
9,qyz,qyz,qyz,46.0,-22,282,695,534,548,292,5,2,1
10,qyz,qyz,qyz,46.0,-22,624,840,567,554,292,6,1,
11,qyz,qyz,qyz,46.0,-22,245,849,245,849,292,6,1,1
12,qyz,qyz,qyz,46.0,-22,228,645,531,549,318,7,1,
13,qyz,qyz,qyz,46.0,-22,311,889,311,889,318,7,1,2
14,qyz,qyz,qyz,46.0,-22,623,646,623,646,318,8,2,
15,qyz,qyz,qyz,46.0,-22,231,739,549,738,318,8,2,1
16,qyz,qyz,qyz,46.0,-22,225,941,225,941,292,9,2,
17,qyz,qyz,qyz,46.0,-22,379,813,143,642,292,9,2,1
18,qyz,qyz,qyz,46.0,-22,520,646,625,919,292,10,1,
19,qyz,qyz,qyz,46.0,-22,570,833,570,833,292,10,1,2
20,qyz,qyz,qyz,46.0,-22,281,645,281,645,266,11,2,
21,qyz,qyz,qyz,46.0,-22,626,947,485,722,266,11,2,1
22,qyz,qyz,qyz,46.0,-22,265,632,265,632,266,12,2,
23,qyz,qyz,qyz,46.0,-22,447,879,381,621,266,12,2,1
24,qyz,qyz,qyz,46.0,-22,150,735,301,548,240,13,1,
25,qyz,qyz,qyz,46.0,-22,495,729,495,729,240,13,1,1
26,qyz,qyz,qyz,46.0,-22,435,913,435,913,253,14,2,
27,qyz,qyz,qyz,46.0,-22,416,662,625,804,253,14,2,1
28,qyz,qyz,qyz,46.0,-22,225,881,318,646,253,15,1,
29,qyz,qyz,qyz,46.0,-22,591,1044,591,1044,253,15,1,2
30,qyz,qyz,qyz,46.0,-22,223,933,223,933,240,16,2,
31,qyz,qyz,qyz,46.0,-22,186,727,345,548,240,16,2,2
32,qyz,qyz,qyz,46.0,-22,485,1032,485,1032,253,17,2,
33,qyz,qyz,qyz,46.0,-22,607,818,368,734,253,17,2,1
34,qyz,qyz,qyz,46.0,-22,504,639,627,860,253,18,1,
35,qyz,qyz,qyz,46.0,-22,418,893,418,893,253,18,1,2
36,qyz,qyz,qyz,46.0,-22,460,661,625,835,240,19,1,
37,qyz,qyz,qyz,46.0,-22,432,916,432,916,240,19,1,2
38,qyz,qyz,qyz,46.0,-22,245,844,245,844,240,20,2,
39,qyz,qyz,qyz,46.0,-22,160,653,377,550,240,20,2,1
40,qyz,qyz,qyz,46.0,-22,367,826,262,625,227,21,1,
41,qyz,qyz,qyz,46.0,-22,621,684,621,684,227,21,1,2
42,qyz,qyz,qyz,46.0,-22,151,648,355,549,227,22,1,
43,qyz,qyz,qyz,46.0,-22,554,986,554,986,227,22,1,2
44,qyz,qyz,qyz,46.0,-22,581,764,581,764,214,23,2,
45,qyz,qyz,qyz,46.0,-22,447,912,253,821,214,23,2,2
46,qyz,qyz,qyz,46.0,-22,330,765,330,765,227,24,2,
47,qyz,qyz,qyz,46.0,-22,166,899,332,744,227,24,2,1
48,qyz,qyz,qyz,46.0,-22,608,942,608,942,227,25,2,
49,qyz,qyz,qyz,46.0,-22,199,749,305,548,227,25,2,1
50,qyz,qyz,qyz,46.0,-22,594,959,558,741,221,26,1,
51,qyz,qyz,qyz,46.0,-22,188,761,188,761,221,26,1,2
52,qyz,qyz,qyz,46.0,-22,425,767,253,628,221,27,1,
53,qyz,qyz,qyz,46.0,-22,197,777,197,777,221,27,1,2
54,qyz,qyz,qyz,46.0,-22,351,924,351,924,214,28,2,
55,qyz,qyz,qyz,46.0,-22,522,641,624,829,214,28,2,1
56,qyz,qyz,qyz,46.0,-22,459,937,279,821,214,29,1,
57,qyz,qyz,qyz,46.0,-22,199,643,199,643,214,29,1,2
58,qyz,qyz,qyz,46.0,-22,638,873,431,853,208,30,1,
59,qyz,qyz,qyz,46.0,-22,506,718,506,718,208,30,1,1
60,qyz,qyz,qyz,46.0,-22,141,696,351,654,214,31,1,
61,qyz,qyz,qyz,46.0,-22,601,896,601,896,214,31,1,1
62,qyz,qyz,qyz,46.0,-22,570,705,397,569,221,32,1,
63,qyz,qyz,qyz,46.0,-22,578,905,578,905,221,32,1,1
64,qyz,qyz,qyz,46.0,-22,353,753,141,671,227,33,1,
65,qyz,qyz,qyz,46.0,-22,141,840,141,840,227,33,1,1
66,qyz,qyz,qyz,46.0,-22,292,645,292,645,234,34,2,
67,qyz,qyz,qyz,46.0,-22,622,1056,486,866,234,34,2,1
68,qyz,qyz,qyz,46.0,-22,586,810,382,697,234,35,1,
69,qyz,qyz,qyz,46.0,-22,408,734,408,734,234,35,1,1
70,qyz,qyz,qyz,46.0,-22,245,852,245,852,240,36,2,
71,qyz,qyz,qyz,46.0,-22,237,648,455,547,240,36,2,1
72,qyz,qyz,qyz,46.0,-22,247,872,247,872,240,37,2,
73,qyz,qyz,qyz,46.0,-22,375,702,561,550,240,37,2,1
74,qyz,qyz,qyz,46.0,-22,210,908,210,908,234,38,2,
75,qyz,qyz,qyz,46.0,-22,479,808,447,577,234,38,2,2
76,qyz,qyz,qyz,46.0,-22,274,764,379,548,240,39,1,
77,qyz,qyz,qyz,46.0,-22,173,935,173,935,240,39,1,1
78,qyz,qyz,qyz,46.0,-22,530,734,530,734,247,40,2,
79,qyz,qyz,qyz,46.0,-22,156,656,378,550,247,40,2,1
80,qyz,qyz,qyz,46.0,-22,246,924,246,924,247,41,2,
81,qyz,qyz,qyz,46.0,-22,610,976,393,860,247,41,2,1
82,qyz,qyz,qyz,46.0,-22,343,807,170,641,240,42,1,
83,qyz,qyz,qyz,46.0,-22,436,643,436,643,240,42,1,1
84,qyz,qyz,qyz,46.0,29,220,676,512,621,297,1,1,
85,qyz,qyz,qyz,46.0,29,381,837,381,837,297,1,1,2
86,qyz,qyz,qyz,46.0,29,161,701,429,573,297,2,1,
87,qyz,qyz,qyz,46.0,29,345,864,345,864,297,2,1,2
88,qyz,qyz,qyz,46.0,29,511,706,511,706,220,3,2,
89,qyz,qyz,qyz,46.0,29,269,922,168,727,220,3,2,1
90,qyz,qyz,qyz,46.0,29,524,852,524,852,220,4,2,
91,qyz,qyz,qyz,46.0,29,271,973,166,779,220,4,2,1
92,qyz,qyz,qyz,46.0,29,406,670,511,573,143,5,1,
93,qyz,qyz,qyz,46.0,29,430,904,430,904,143,5,1,1
94,qyz,qyz,qyz,46.0,29,517,729,599,933,220,6,1,
95,qyz,qyz,qyz,46.0,29,340,831,340,831,220,6,1,2
96,qyz,qyz,qyz,46.0,29,526,747,526,747,220,7,2,
97,qyz,qyz,qyz,46.0,29,175,668,388,613,220,7,2,2
98,qyz,qyz,qyz,46.0,29,650,969,355,1005,297,8,1,
99,qyz,qyz,qyz,46.0,29,311,851,311,851,297,8,1,1
100,qyz,qyz,qyz,46.0,29,435,682,435,682,374,9,2,
101,qyz,qyz,qyz,46.0,29,484,887,170,684,374,9,2,1
102,qyz,qyz,qyz,46.0,29,614,665,614,665,374,10,2,
103,qyz,qyz,qyz,46.0,29,188,962,388,646,374,10,2,2
