id,name,age,gender,wrist_width,physical_pin,haptic_x,haptic_y,visual_x,visual_y,dist,trial_id,expected_ans,ans
0,wjx,wjx,wjx,44.0,29,199,707,199,707,282,1,2,
1,wjx,wjx,wjx,44.0,29,154,914,190,634,282,1,2,2
2,wjx,wjx,wjx,44.0,29,294,722,294,722,359,2,2,
3,wjx,wjx,wjx,44.0,29,243,900,539,696,359,2,2,1
4,wjx,wjx,wjx,44.0,29,413,701,222,1005,359,3,1,
5,wjx,wjx,wjx,44.0,29,319,886,319,886,359,3,1,2
6,wjx,wjx,wjx,44.0,29,444,715,444,715,282,4,2,
7,wjx,wjx,wjx,44.0,29,620,901,375,761,282,4,2,1
8,wjx,wjx,wjx,44.0,29,572,715,572,715,282,5,2,
9,wjx,wjx,wjx,44.0,29,499,909,293,716,282,5,2,1
10,wjx,wjx,wjx,44.0,29,392,716,539,573,205,6,1,
11,wjx,wjx,wjx,44.0,29,243,878,243,878,205,6,1,2
12,wjx,wjx,wjx,44.0,29,170,680,375,669,205,7,1,
13,wjx,wjx,wjx,44.0,29,582,942,582,942,205,7,1,2
14,wjx,wjx,wjx,44.0,29,495,743,495,743,128,8,2,
15,wjx,wjx,wjx,44.0,29,158,702,256,620,128,8,2,1
16,wjx,wjx,wjx,44.0,29,443,871,318,845,128,9,1,
17,wjx,wjx,wjx,44.0,29,632,668,632,668,128,9,1,1
18,wjx,wjx,wjx,44.0,29,183,999,183,999,205,10,2,
19,wjx,wjx,wjx,44.0,29,586,779,469,610,205,10,2,1
20,wjx,wjx,wjx,44.0,29,169,797,169,797,205,11,2,
21,wjx,wjx,wjx,44.0,29,514,740,316,687,205,11,2,1
22,wjx,wjx,wjx,44.0,29,204,664,204,664,128,12,2,
23,wjx,wjx,wjx,44.0,29,537,718,411,698,128,12,2,2
24,wjx,wjx,wjx,44.0,29,595,906,595,906,205,13,2,
25,wjx,wjx,wjx,44.0,29,383,832,262,667,205,13,2,1
26,wjx,wjx,wjx,44.0,29,201,737,323,572,205,14,1,
27,wjx,wjx,wjx,44.0,29,346,865,346,865,205,14,1,2
28,wjx,wjx,wjx,44.0,29,347,673,481,574,167,15,1,
29,wjx,wjx,wjx,44.0,29,430,864,430,864,167,15,1,2
30,wjx,wjx,wjx,44.0,29,369,669,369,669,167,16,2,
31,wjx,wjx,wjx,44.0,29,276,860,245,696,167,16,2,1
32,wjx,wjx,wjx,44.0,29,349,672,349,672,128,17,2,
33,wjx,wjx,wjx,44.0,29,296,898,190,827,128,17,2,2
34,wjx,wjx,wjx,44.0,29,600,671,600,671,167,18,2,
35,wjx,wjx,wjx,44.0,29,447,815,293,753,167,18,2,2
36,wjx,wjx,wjx,44.0,29,192,663,377,574,205,19,1,
37,wjx,wjx,wjx,44.0,29,527,659,527,659,205,19,1,2
38,wjx,wjx,wjx,44.0,29,292,710,292,710,205,20,2,
39,wjx,wjx,wjx,44.0,29,158,905,291,749,205,20,2,1
40,wjx,wjx,wjx,44.0,29,335,740,317,574,167,21,1,
41,wjx,wjx,wjx,44.0,29,151,847,151,847,167,21,1,2
42,wjx,wjx,wjx,44.0,29,564,666,564,666,167,22,2,
43,wjx,wjx,wjx,44.0,29,439,907,412,743,167,22,2,1
44,wjx,wjx,wjx,44.0,29,501,673,378,638,128,23,1,
45,wjx,wjx,wjx,44.0,29,435,888,435,888,128,23,1,1
46,wjx,wjx,wjx,44.0,29,288,733,288,733,167,24,2,
47,wjx,wjx,wjx,44.0,29,602,774,436,757,167,24,2,1
48,wjx,wjx,wjx,44.0,29,159,668,159,668,167,25,2,
49,wjx,wjx,wjx,44.0,29,499,721,418,575,167,25,2,1
50,wjx,wjx,wjx,44.0,29,450,909,386,798,128,26,1,
51,wjx,wjx,wjx,44.0,29,324,680,324,680,128,26,1,1
52,wjx,wjx,wjx,44.0,29,426,859,426,859,147,27,2,
53,wjx,wjx,wjx,44.0,29,167,804,248,681,147,27,2,2
54,wjx,wjx,wjx,44.0,29,330,898,171,849,167,28,1,
55,wjx,wjx,wjx,44.0,29,383,688,383,688,167,28,1,1
56,wjx,wjx,wjx,44.0,29,334,875,334,875,186,29,2,
57,wjx,wjx,wjx,44.0,29,303,682,453,573,186,29,2,2
58,wjx,wjx,wjx,44.0,29,166,880,166,880,205,30,2,
59,wjx,wjx,wjx,44.0,29,624,888,419,884,205,30,2,1
60,wjx,wjx,wjx,44.0,29,556,692,556,692,205,31,2,
61,wjx,wjx,wjx,44.0,29,584,876,487,695,205,31,2,2
