id,name,age,gender,wrist_width,physical_pin,haptic_x,haptic_y,visual_x,visual_y,dist,trial_id,expected_ans,ans
0,zhm,24,F,36.0,80,324,877,324,877,232,1,2,
1,zhm,24,F,36.0,80,265,675,484,599,232,1,2,1
2,zhm,24,F,36.0,80,446,900,446,900,232,2,2,
3,zhm,24,F,36.0,80,588,662,574,894,232,2,2,1
4,zhm,24,F,36.0,80,429,861,375,772,104,3,1,
5,zhm,24,F,36.0,80,485,669,485,669,104,3,1,2
6,zhm,24,F,36.0,80,333,905,242,854,104,4,1,
7,zhm,24,F,36.0,80,328,699,328,699,104,4,1,2
8,zhm,24,F,36.0,80,467,872,467,872,0,5,-1,
9,zhm,24,F,36.0,80,381,680,381,680,0,5,-1,2
10,zhm,24,F,36.0,80,191,902,290,821,128,6,1,
11,zhm,24,F,36.0,80,446,754,446,754,128,6,1,1
12,zhm,24,F,36.0,80,226,773,477,720,256,7,1,
13,zhm,24,F,36.0,80,569,1007,569,1007,256,7,1,2
14,zhm,24,F,36.0,80,439,819,192,752,256,8,1,
15,zhm,24,F,36.0,80,625,907,625,907,256,8,1,2
16,zhm,24,F,36.0,80,187,851,315,849,128,9,1,
17,zhm,24,F,36.0,80,345,724,345,724,128,9,1,2
18,zhm,24,F,36.0,80,635,964,509,944,128,10,1,
19,zhm,24,F,36.0,80,469,904,469,904,128,10,1,2
20,zhm,24,F,36.0,80,543,692,543,692,0,11,-1,
21,zhm,24,F,36.0,80,195,673,195,673,0,11,-1,1
22,zhm,24,F,36.0,80,300,860,300,860,128,12,2,
23,zhm,24,F,36.0,80,180,739,306,714,128,12,2,2
24,zhm,24,F,36.0,80,386,786,560,599,256,13,1,
25,zhm,24,F,36.0,80,191,876,191,876,256,13,1,2
26,zhm,24,F,36.0,80,241,683,483,600,256,14,1,
27,zhm,24,F,36.0,80,540,716,540,716,256,14,1,2
28,zhm,24,F,36.0,80,415,881,289,858,128,15,1,
29,zhm,24,F,36.0,80,403,680,403,680,128,15,1,1
30,zhm,24,F,36.0,80,325,880,193,741,192,16,1,
31,zhm,24,F,36.0,80,242,690,242,690,192,16,1,2
32,zhm,24,F,36.0,80,197,911,197,911,192,17,2,
33,zhm,24,F,36.0,80,553,1006,511,819,192,17,2,1
34,zhm,24,F,36.0,80,192,797,228,674,128,18,1,
35,zhm,24,F,36.0,80,547,1021,547,1021,128,18,1,2
36,zhm,24,F,36.0,80,217,1017,317,938,128,19,1,
37,zhm,24,F,36.0,80,298,775,298,775,128,19,1,2
38,zhm,24,F,36.0,80,563,945,499,939,64,20,1,
39,zhm,24,F,36.0,80,321,669,321,669,64,20,1,2
40,zhm,24,F,36.0,80,480,801,418,786,64,21,1,
41,zhm,24,F,36.0,80,192,739,192,739,64,21,1,1
42,zhm,24,F,36.0,80,624,1018,624,1018,128,22,2,
43,zhm,24,F,36.0,80,265,1043,193,937,128,22,2,1
44,zhm,24,F,36.0,80,303,838,303,838,128,23,2,
45,zhm,24,F,36.0,80,463,663,574,599,128,23,2,1
46,zhm,24,F,36.0,80,325,823,269,793,64,24,1,
47,zhm,24,F,36.0,80,178,681,178,681,64,24,1,1
48,zhm,24,F,36.0,80,325,874,317,746,128,25,1,
49,zhm,24,F,36.0,80,365,692,365,692,128,25,1,2
50,zhm,24,F,36.0,80,341,884,236,810,128,26,1,
51,zhm,24,F,36.0,80,191,861,191,861,128,26,1,2
52,zhm,24,F,36.0,80,274,670,338,598,96,27,1,
53,zhm,24,F,36.0,80,195,888,195,888,96,27,1,2
54,zhm,24,F,36.0,80,354,718,329,625,96,28,1,
55,zhm,24,F,36.0,80,243,886,243,886,96,28,1,1
56,zhm,24,F,36.0,80,364,682,364,682,128,29,2,
57,zhm,24,F,36.0,80,191,903,211,777,128,29,2,1
58,zhm,24,F,36.0,80,377,674,377,674,128,30,2,
59,zhm,24,F,36.0,80,465,870,353,808,128,30,2,1
60,zhm,24,F,36.0,80,552,695,476,637,96,31,1,
61,zhm,24,F,36.0,80,201,976,201,976,96,31,1,2
62,zhm,24,F,36.0,80,315,673,315,673,96,32,2,
63,zhm,24,F,36.0,80,564,833,470,816,96,32,2,1
64,zhm,24,F,36.0,80,257,807,257,807,64,33,2,
65,zhm,24,F,36.0,80,522,831,463,807,64,33,2,1
66,zhm,24,F,36.0,80,234,718,296,701,64,34,1,
67,zhm,24,F,36.0,80,189,898,189,898,64,34,1,1
68,zhm,24,F,36.0,80,553,1048,553,1048,96,35,2,
69,zhm,24,F,36.0,80,223,718,318,701,96,35,2,1
70,zhm,24,F,36.0,80,611,715,518,692,96,36,1,
71,zhm,24,F,36.0,80,184,855,184,855,96,36,1,2
72,zhm,24,F,36.0,80,328,692,285,645,64,37,1,
73,zhm,24,F,36.0,80,218,879,218,879,64,37,1,2
74,zhm,24,F,36.0,80,360,706,308,669,64,38,1,
75,zhm,24,F,36.0,80,515,856,515,856,64,38,1,1
76,zhm,24,F,36.0,-22,616,766,468,620,208,1,1,
77,zhm,24,F,36.0,-22,181,614,181,614,208,1,1,2
78,zhm,24,F,36.0,-22,369,660,190,554,208,2,1,
79,zhm,24,F,36.0,-22,425,940,425,940,208,2,1,2
80,zhm,24,F,36.0,-22,582,643,582,643,182,3,2,
81,zhm,24,F,36.0,-22,451,833,422,653,182,3,2,1
82,zhm,24,F,36.0,-22,358,640,516,549,182,4,1,
83,zhm,24,F,36.0,-22,646,950,646,950,182,4,1,2
84,zhm,24,F,36.0,-22,513,630,513,630,156,5,2,
85,zhm,24,F,36.0,-22,485,842,377,729,156,5,2,1
86,zhm,24,F,36.0,-22,132,619,271,549,156,6,1,
87,zhm,24,F,36.0,-22,491,908,491,908,156,6,1,2
88,zhm,24,F,36.0,-22,345,764,345,764,130,7,2,
89,zhm,24,F,36.0,-22,272,932,233,808,130,7,2,1
90,zhm,24,F,36.0,-22,340,706,252,610,130,8,1,
91,zhm,24,F,36.0,-22,149,993,149,993,130,8,1,2
92,zhm,24,F,36.0,-22,390,862,390,862,104,9,2,
93,zhm,24,F,36.0,-22,613,917,510,904,104,9,2,2
94,zhm,24,F,36.0,-22,142,958,142,958,130,10,2,
95,zhm,24,F,36.0,-22,184,734,256,626,130,10,2,1
96,zhm,24,F,36.0,-22,601,636,626,764,130,11,1,
97,zhm,24,F,36.0,-22,468,818,468,818,130,11,1,1
98,zhm,24,F,36.0,-22,158,611,158,611,156,12,2,
99,zhm,24,F,36.0,-22,625,913,607,758,156,12,2,1
100,zhm,24,F,36.0,-22,410,896,410,896,156,13,2,
101,zhm,24,F,36.0,-22,647,614,496,573,156,13,2,1
102,zhm,24,F,36.0,-22,174,613,303,594,130,14,1,
103,zhm,24,F,36.0,-22,167,847,167,847,130,14,1,2
104,zhm,24,F,36.0,-22,224,646,345,599,130,15,1,
105,zhm,24,F,36.0,-22,263,908,263,908,130,15,1,2
106,zhm,24,F,36.0,-22,349,674,349,674,104,16,2,
107,zhm,24,F,36.0,-22,245,932,276,833,104,16,2,1
108,zhm,24,F,36.0,-22,560,983,560,983,104,17,2,
109,zhm,24,F,36.0,-22,144,878,212,800,104,17,2,2
110,zhm,24,F,36.0,-22,381,678,261,628,130,18,1,
111,zhm,24,F,36.0,-22,456,951,456,951,130,18,1,1
112,zhm,24,F,36.0,-22,215,928,215,928,156,19,2,
113,zhm,24,F,36.0,-22,431,851,301,765,156,19,2,1
114,zhm,24,F,36.0,-22,563,697,412,658,156,20,1,
115,zhm,24,F,36.0,-22,422,867,422,867,156,20,1,1
116,zhm,24,F,36.0,-22,617,636,448,567,182,21,1,
117,zhm,24,F,36.0,-22,631,911,631,911,182,21,1,1
118,zhm,24,F,36.0,-22,512,618,512,618,208,22,2,
119,zhm,24,F,36.0,-22,305,746,369,548,208,22,2,1
120,zhm,24,F,36.0,-22,272,932,142,770,208,23,1,
121,zhm,24,F,36.0,-22,445,629,445,629,208,23,1,1
122,zhm,24,F,36.0,-22,435,893,435,893,234,24,2,
123,zhm,24,F,36.0,-22,519,704,285,704,234,24,2,2
124,zhm,24,F,36.0,-22,395,889,141,832,260,25,1,
125,zhm,24,F,36.0,-22,136,614,136,614,260,25,1,1
126,zhm,24,F,36.0,-22,244,912,244,912,286,26,2,
127,zhm,24,F,36.0,-22,294,709,530,548,286,26,2,1
128,zhm,24,F,36.0,-22,147,873,254,608,286,27,1,
129,zhm,24,F,36.0,-22,304,732,304,732,286,27,1,2
130,zhm,24,F,36.0,-22,548,916,395,706,260,28,1,
131,zhm,24,F,36.0,-22,155,1018,155,1018,260,28,1,2
132,zhm,24,F,36.0,-22,580,920,580,920,260,29,2,
133,zhm,24,F,36.0,-22,153,928,231,680,260,29,2,1
134,zhm,24,F,36.0,-22,612,640,612,640,234,30,2,
135,zhm,24,F,36.0,-22,149,620,372,550,234,30,2,1
136,zhm,24,F,36.0,-22,614,957,381,932,234,31,1,
137,zhm,24,F,36.0,-22,143,743,143,743,234,31,1,1
138,zhm,24,F,36.0,-22,566,787,382,622,247,32,1,
139,zhm,24,F,36.0,-22,345,821,345,821,247,32,1,2
140,zhm,24,F,36.0,-22,308,625,543,549,247,33,1,
141,zhm,24,F,36.0,-22,352,898,352,898,247,33,1,2
142,zhm,24,F,36.0,-22,255,710,472,622,234,34,1,
143,zhm,24,F,36.0,-22,364,913,364,913,234,34,1,2
144,zhm,24,F,36.0,-22,180,831,202,598,234,35,1,
