id,name,age,gender,wrist_width,physical_pin,haptic_x,haptic_y,visual_x,visual_y,dist,trial_id,expected_ans,ans
0,dan2,24,F,44.0,80,411,686,367,640,64,1,1,
1,dan2,24,F,44.0,80,197,812,197,812,64,1,1,1
2,dan2,24,F,44.0,80,559,699,575,826,128,2,1,
3,dan2,24,F,44.0,80,437,880,437,880,128,2,1,1
4,dan2,24,F,44.0,80,619,708,574,895,192,3,1,
5,dan2,24,F,44.0,80,359,1039,359,1039,192,3,1,2
6,dan2,24,F,44.0,80,551,937,430,788,192,4,1,
7,dan2,24,F,44.0,80,354,810,354,810,192,4,1,1
8,dan2,24,F,44.0,80,201,680,445,601,256,5,1,
9,dan2,24,F,44.0,80,581,905,581,905,256,5,1,2
10,dan2,24,F,44.0,80,496,708,496,708,256,6,2,
11,dan2,24,F,44.0,80,248,938,265,683,256,6,2,1
12,dan2,24,F,44.0,80,388,718,388,718,192,7,2,
13,dan2,24,F,44.0,80,472,879,284,842,192,7,2,1
14,dan2,24,F,44.0,80,547,694,547,694,192,8,2,
15,dan2,24,F,44.0,80,205,1043,378,960,192,8,2,2
16,dan2,24,F,44.0,80,568,961,400,768,256,9,1,
17,dan2,24,F,44.0,80,201,678,201,678,256,9,1,2
18,dan2,24,F,44.0,80,553,770,407,980,256,10,1,
19,dan2,24,F,44.0,80,340,695,340,695,256,10,1,2
20,dan2,24,F,44.0,80,405,873,405,873,224,11,2,
21,dan2,24,F,44.0,80,245,703,444,599,224,11,2,1
22,dan2,24,F,44.0,80,479,797,256,780,224,12,1,
23,dan2,24,F,44.0,80,193,910,193,910,224,12,1,2
24,dan2,24,F,44.0,80,598,984,598,984,192,13,2,
25,dan2,24,F,44.0,80,216,912,311,745,192,13,2,2
26,dan2,24,F,44.0,80,598,908,598,908,224,14,2,
27,dan2,24,F,44.0,80,535,695,332,600,224,14,2,2
28,dan2,24,F,44.0,80,413,850,413,850,256,15,2,
29,dan2,24,F,44.0,80,273,689,513,599,256,15,2,1
30,dan2,24,F,44.0,80,481,860,481,860,256,16,2,
31,dan2,24,F,44.0,80,212,803,465,763,256,16,2,1
32,dan2,24,F,44.0,80,518,686,518,686,224,17,2,
33,dan2,24,F,44.0,80,415,899,240,759,224,17,2,2
34,dan2,24,F,44.0,80,549,705,574,960,256,18,1,
35,dan2,24,F,44.0,80,409,852,409,852,256,18,1,2
36,dan2,24,F,44.0,80,610,686,363,619,256,19,1,
37,dan2,24,F,44.0,80,469,840,469,840,256,19,1,1
38,dan2,24,F,44.0,80,324,683,324,683,288,20,2,
39,dan2,24,F,44.0,80,258,864,370,599,288,20,2,1
40,dan2,24,F,44.0,80,479,691,479,691,288,21,2,
41,dan2,24,F,44.0,80,315,788,534,601,288,21,2,2
42,dan2,24,F,44.0,80,568,701,568,701,320,22,2,
43,dan2,24,F,44.0,80,193,958,362,686,320,22,2,1
44,dan2,24,F,44.0,80,333,748,573,959,320,23,1,
45,dan2,24,F,44.0,80,522,845,522,845,320,23,1,2
46,dan2,24,F,44.0,80,342,708,574,879,288,24,1,
47,dan2,24,F,44.0,80,191,692,191,692,288,24,1,2
48,dan2,24,F,44.0,80,626,858,366,981,288,25,1,
49,dan2,24,F,44.0,80,185,727,185,727,288,25,1,2
50,dan2,24,F,44.0,80,443,815,246,979,256,26,1,
51,dan2,24,F,44.0,80,185,912,185,912,256,26,1,2
52,dan2,24,F,44.0,80,202,705,202,705,256,27,2,
53,dan2,24,F,44.0,80,593,899,338,874,256,27,2,2
