id,name,age,gender,wrist_width,physical_pin,haptic_x,haptic_y,visual_x,visual_y,dist,trial_id,expected_ans,ans
0,wjl4,27,F,34.0,-22,491,736,323,615,207,1,1,
1,wjl4,27,F,34.0,-22,156,1018,156,1018,207,1,1,2
2,wjl4,27,F,34.0,-22,480,806,288,750,201,2,1,
3,wjl4,27,F,34.0,-22,644,622,644,622,201,2,1,1
4,wjl4,27,F,34.0,-22,231,686,231,686,207,3,2,
5,wjl4,27,F,34.0,-22,486,810,327,677,207,3,2,1
6,wjl4,27,F,34.0,-22,196,963,196,963,207,4,2,
7,wjl4,27,F,34.0,-22,546,976,446,795,207,4,2,1
8,wjl4,27,F,34.0,-22,153,973,318,859,201,5,1,
9,wjl4,27,F,34.0,-22,288,654,288,654,201,5,1,2
10,wjl4,27,F,34.0,-22,228,845,263,648,201,6,1,
11,wjl4,27,F,34.0,-22,142,665,142,665,201,6,1,2
12,wjl4,27,F,34.0,-22,636,674,624,868,194,7,1,
13,wjl4,27,F,34.0,-22,579,886,579,886,194,7,1,2
14,wjl4,27,F,34.0,-22,547,633,626,810,194,8,1,
15,wjl4,27,F,34.0,-22,576,953,576,953,194,8,1,2
16,wjl4,27,F,34.0,-22,608,738,428,684,188,9,1,
17,wjl4,27,F,34.0,-22,599,956,599,956,188,9,1,2
18,wjl4,27,F,34.0,-22,162,608,162,608,188,10,2,
19,wjl4,27,F,34.0,-22,426,844,339,678,188,10,2,1
20,wjl4,27,F,34.0,-22,229,902,388,816,181,11,1,
21,wjl4,27,F,34.0,-22,217,667,217,667,181,11,1,2
22,wjl4,27,F,34.0,-22,254,901,254,901,181,12,2,
23,wjl4,27,F,34.0,-22,199,669,334,548,181,12,2,1
24,wjl4,27,F,34.0,-22,224,883,238,709,175,13,1,
25,wjl4,27,F,34.0,-22,503,667,503,667,175,13,1,1
