id,name,age,gender,wrist_width,physical_pin,haptic_x,haptic_y,visual_x,visual_y,dist,trial_id,expected_ans,ans
0,bsj9,25,M,44.0,80,557,800,557,800,227,1,2,
1,bsj9,25,M,44.0,80,187,705,390,603,227,1,2,1
2,bsj9,25,M,44.0,80,448,802,339,603,227,2,1,
3,bsj9,25,M,44.0,80,225,823,225,823,227,2,1,2
4,bsj9,25,M,44.0,80,623,734,623,734,99,3,2,
5,bsj9,25,M,44.0,80,424,705,325,700,99,3,2,2
6,bsj9,25,M,44.0,80,532,867,532,867,163,4,2,
7,bsj9,25,M,44.0,80,617,688,456,661,163,4,2,1
8,bsj9,25,M,44.0,80,483,700,483,700,163,5,2,
9,bsj9,25,M,44.0,80,371,851,239,755,163,5,2,1
10,bsj9,25,M,44.0,80,250,709,263,611,99,6,1,
11,bsj9,25,M,44.0,80,424,778,424,778,99,6,1,2
12,bsj9,25,M,44.0,80,253,899,305,815,99,7,1,
13,bsj9,25,M,44.0,80,371,712,371,712,99,7,1,2
14,bsj9,25,M,44.0,80,545,822,545,822,35,8,2,
15,bsj9,25,M,44.0,80,186,714,221,713,35,8,2,1
16,bsj9,25,M,44.0,80,403,747,403,747,35,9,2,
17,bsj9,25,M,44.0,80,264,898,263,863,35,9,2,2
18,bsj9,25,M,44.0,80,369,729,277,693,99,10,1,
19,bsj9,25,M,44.0,80,555,679,555,679,99,10,1,2
20,bsj9,25,M,44.0,80,278,692,278,692,99,11,2,
21,bsj9,25,M,44.0,80,492,677,424,605,99,11,2,1
22,bsj9,25,M,44.0,80,577,884,560,853,35,12,1,
23,bsj9,25,M,44.0,80,501,693,501,693,35,12,1,1
24,bsj9,25,M,44.0,80,260,721,260,721,99,13,2,
25,bsj9,25,M,44.0,80,562,684,576,782,99,13,2,2
26,bsj9,25,M,44.0,80,195,1037,192,874,163,14,1,
27,bsj9,25,M,44.0,80,311,894,311,894,163,14,1,1
28,bsj9,25,M,44.0,80,307,709,307,709,227,15,2,
29,bsj9,25,M,44.0,80,429,862,402,637,227,15,2,1
30,bsj9,25,M,44.0,80,181,906,267,696,227,16,1,
31,bsj9,25,M,44.0,80,573,687,573,687,227,16,1,2
32,bsj9,25,M,44.0,80,454,877,454,877,195,17,2,
33,bsj9,25,M,44.0,80,536,705,355,633,195,17,2,1
34,bsj9,25,M,44.0,80,191,895,251,709,195,18,1,
35,bsj9,25,M,44.0,80,208,705,208,705,195,18,1,1
36,bsj9,25,M,44.0,80,292,875,292,875,227,19,2,
37,bsj9,25,M,44.0,80,416,712,574,875,227,19,2,1
38,bsj9,25,M,44.0,80,280,853,280,853,227,20,2,
39,bsj9,25,M,44.0,80,571,1006,492,793,227,20,2,1
40,bsj9,25,M,44.0,80,557,789,557,789,195,21,2,
41,bsj9,25,M,44.0,80,197,852,349,730,195,21,2,1
42,bsj9,25,M,44.0,80,557,836,557,836,195,22,2,
43,bsj9,25,M,44.0,80,196,1008,389,982,195,22,2,1
44,bsj9,25,M,44.0,80,183,754,183,754,163,23,2,
45,bsj9,25,M,44.0,80,518,687,356,666,163,23,2,1
46,bsj9,25,M,44.0,80,197,1018,197,1018,163,24,2,
47,bsj9,25,M,44.0,80,234,845,237,682,163,24,2,1
48,bsj9,25,M,44.0,80,615,682,615,682,131,25,2,
49,bsj9,25,M,44.0,80,185,703,265,599,131,25,2,1
50,bsj9,25,M,44.0,80,261,876,193,764,131,26,1,
51,bsj9,25,M,44.0,80,409,734,409,734,131,26,1,2
52,bsj9,25,M,44.0,80,191,723,191,723,99,27,2,
53,bsj9,25,M,44.0,80,516,799,437,739,99,27,2,1
54,bsj9,25,M,44.0,80,282,697,212,627,99,28,1,
55,bsj9,25,M,44.0,80,579,884,579,884,99,28,1,2
56,bsj9,25,M,44.0,80,618,703,618,703,67,29,2,
57,bsj9,25,M,44.0,80,211,714,275,694,67,29,2,1
58,bsj9,25,M,44.0,80,579,962,529,917,67,30,1,
59,bsj9,25,M,44.0,80,530,719,530,719,67,30,1,2
60,bsj9,25,M,44.0,80,382,857,381,822,35,31,1,
61,bsj9,25,M,44.0,80,229,720,229,720,35,31,1,1
62,bsj9,25,M,44.0,80,391,812,336,773,67,32,1,
63,bsj9,25,M,44.0,80,190,700,190,700,67,32,1,2
64,bsj9,25,M,44.0,80,257,870,192,852,67,33,1,
65,bsj9,25,M,44.0,80,601,692,601,692,67,33,1,2
