id,name,age,gender,wrist_width,physical_pin,haptic_x,haptic_y,visual_x,visual_y,dist,trial_id,expected_ans,ans
0,tclz,23,F,39.0,80,218,814,464,718,264,1,1,
1,tclz,23,F,39.0,80,566,1040,566,1040,264,1,1,2
2,tclz,23,F,39.0,80,591,721,327,717,264,2,1,
3,tclz,23,F,39.0,80,229,886,229,886,264,2,1,1
4,tclz,23,F,39.0,80,504,932,504,932,392,3,2,
5,tclz,23,F,39.0,80,190,691,571,599,392,3,2,1
6,tclz,23,F,39.0,80,212,879,212,879,392,4,2,
7,tclz,23,F,39.0,80,239,684,573,889,392,4,2,1
8,tclz,23,F,39.0,80,554,678,554,678,264,5,2,
9,tclz,23,F,39.0,80,201,959,457,896,264,5,2,2
10,tclz,23,F,39.0,80,585,689,585,689,392,6,2,
11,tclz,23,F,39.0,80,634,898,251,980,392,6,2,1
12,tclz,23,F,39.0,80,198,683,198,683,392,7,2,
13,tclz,23,F,39.0,80,200,882,472,600,392,7,2,1
14,tclz,23,F,39.0,80,567,678,567,678,264,8,2,
15,tclz,23,F,39.0,80,434,880,347,631,264,8,2,2
16,tclz,23,F,39.0,80,495,693,495,693,328,9,2,
17,tclz,23,F,39.0,80,195,876,371,599,328,9,2,1
18,tclz,23,F,39.0,80,200,671,521,602,328,10,1,
19,tclz,23,F,39.0,80,411,695,411,695,328,10,1,2
20,tclz,23,F,39.0,80,386,899,386,899,264,11,2,
21,tclz,23,F,39.0,80,389,694,575,881,264,11,2,1
22,tclz,23,F,39.0,80,348,902,348,902,264,12,2,
23,tclz,23,F,39.0,80,316,698,561,599,264,12,2,1
24,tclz,23,F,39.0,80,574,686,574,686,200,13,2,
25,tclz,23,F,39.0,80,216,683,398,599,200,13,2,2
26,tclz,23,F,39.0,80,253,898,253,898,264,14,2,
27,tclz,23,F,39.0,80,536,916,406,686,264,14,2,1
28,tclz,23,F,39.0,80,206,687,206,687,264,15,2,
29,tclz,23,F,39.0,80,607,697,349,641,264,15,2,1
30,tclz,23,F,39.0,80,481,866,481,866,200,16,2,
31,tclz,23,F,39.0,80,388,685,569,600,200,16,2,1
32,tclz,23,F,39.0,80,503,865,503,865,200,17,2,
33,tclz,23,F,39.0,80,245,691,440,648,200,17,2,1
34,tclz,23,F,39.0,80,454,713,528,599,136,18,1,
35,tclz,23,F,39.0,80,210,930,210,930,136,18,1,1
36,tclz,23,F,39.0,80,251,732,251,732,200,19,2,
37,tclz,23,F,39.0,80,513,688,319,638,200,19,2,2
38,tclz,23,F,39.0,80,189,687,446,625,264,20,1,
39,tclz,23,F,39.0,80,213,893,213,893,264,20,1,1
40,tclz,23,F,39.0,80,226,679,544,600,328,21,1,
41,tclz,23,F,39.0,80,281,896,281,896,328,21,1,2
42,tclz,23,F,39.0,80,569,983,451,677,328,22,1,
43,tclz,23,F,39.0,80,226,681,226,681,328,22,1,2
44,tclz,23,F,39.0,80,572,684,575,980,296,23,1,
45,tclz,23,F,39.0,80,544,895,544,895,296,23,1,2
46,tclz,23,F,39.0,80,291,957,291,957,296,24,2,
47,tclz,23,F,39.0,80,268,699,547,601,296,24,2,1
