id,name,age,gender,wrist_width,physical_pin,haptic_x,haptic_y,visual_x,visual_y,dist,trial_id,expected_ans,ans
0,llj,25,F,35.0,29,169,867,283,686,214,1,1,
1,llj,25,F,35.0,29,418,672,418,672,214,1,1,2
2,llj,25,F,35.0,29,165,939,165,939,214,2,2,
3,llj,25,F,35.0,29,402,712,565,573,214,2,2,1
4,llj,25,F,35.0,29,302,885,170,848,137,3,1,
5,llj,25,F,35.0,29,581,955,581,955,137,3,1,1
6,llj,25,F,35.0,29,436,732,436,732,214,4,2,
7,llj,25,F,35.0,29,164,760,269,574,214,4,2,1
8,llj,25,F,35.0,29,276,922,168,737,214,5,1,
9,llj,25,F,35.0,29,436,740,436,740,214,5,1,2
10,llj,25,F,35.0,29,170,636,170,636,137,6,2,
11,llj,25,F,35.0,29,592,958,506,851,137,6,2,1
12,llj,25,F,35.0,29,626,680,626,680,137,7,2,
13,llj,25,F,35.0,29,455,892,400,767,137,7,2,2
14,llj,25,F,35.0,29,554,708,554,708,214,8,2,
15,llj,25,F,35.0,29,482,908,341,747,214,8,2,2
16,llj,25,F,35.0,29,185,1006,426,843,291,9,1,
17,llj,25,F,35.0,29,577,972,577,972,291,9,1,1
18,llj,25,F,35.0,29,516,685,337,1007,368,10,1,
19,llj,25,F,35.0,29,553,924,553,924,368,10,1,2
20,llj,25,F,35.0,29,153,653,153,653,368,11,2,
21,llj,25,F,35.0,29,168,929,533,880,368,11,2,1
22,llj,25,F,35.0,29,440,932,440,932,291,12,2,
23,llj,25,F,35.0,29,169,730,414,574,291,12,2,1
24,llj,25,F,35.0,29,580,945,580,945,291,13,2,
25,llj,25,F,35.0,29,202,758,426,572,291,13,2,2
26,llj,25,F,35.0,29,557,931,557,931,330,14,2,
27,llj,25,F,35.0,29,640,739,448,1007,330,14,2,1
28,llj,25,F,35.0,29,506,1040,211,893,330,15,1,
29,llj,25,F,35.0,29,570,832,570,832,330,15,1,2
30,llj,25,F,35.0,29,368,925,368,925,291,16,2,
31,llj,25,F,35.0,29,530,759,379,1008,291,16,2,1
32,llj,25,F,35.0,29,215,637,215,637,291,17,2,
33,llj,25,F,35.0,29,515,703,224,688,291,17,2,1
34,llj,25,F,35.0,29,601,928,552,680,253,18,1,
35,llj,25,F,35.0,29,590,695,590,695,253,18,1,1
36,llj,25,F,35.0,29,514,882,514,882,291,19,2,
37,llj,25,F,35.0,29,525,683,601,964,291,19,2,1
38,llj,25,F,35.0,29,181,639,465,575,291,20,1,
39,llj,25,F,35.0,29,194,936,194,936,291,20,1,1
40,llj,25,F,35.0,29,289,816,289,816,330,21,2,
41,llj,25,F,35.0,29,615,644,293,574,330,21,2,1
42,llj,25,F,35.0,29,629,912,313,1006,330,22,1,
43,llj,25,F,35.0,29,464,804,464,804,330,22,1,1
44,llj,25,F,35.0,29,196,723,196,723,368,23,2,
45,llj,25,F,35.0,29,169,916,496,748,368,23,2,1
