id,name,age,gender,wrist_width,physical_pin,haptic_x,haptic_y,visual_x,visual_y,dist,trial_id,expected_ans,ans
0,ht3,30,M,43.0,29,289,842,289,842,194,1,2,
1,ht3,30,M,43.0,29,611,917,489,766,194,1,2,2
2,ht3,30,M,43.0,29,177,702,404,650,233,2,1,
3,ht3,30,M,43.0,29,596,951,596,951,233,2,1,2
4,ht3,30,M,43.0,29,245,817,245,817,233,3,2,
5,ht3,30,M,43.0,29,463,882,294,722,233,3,2,1
6,ht3,30,M,43.0,29,173,650,173,650,213,4,2,
7,ht3,30,M,43.0,29,615,894,402,887,213,4,2,1
8,ht3,30,M,43.0,29,488,740,601,921,213,5,1,
9,ht3,30,M,43.0,29,157,813,157,813,213,5,1,2
10,ht3,30,M,43.0,29,292,956,287,762,194,6,1,
11,ht3,30,M,43.0,29,214,752,214,752,194,6,1,2
12,ht3,30,M,43.0,29,322,906,322,906,194,7,2,
13,ht3,30,M,43.0,29,601,968,582,775,194,7,2,2
14,ht3,30,M,43.0,29,223,745,223,745,213,8,2,
15,ht3,30,M,43.0,29,600,982,461,821,213,8,2,1
16,ht3,30,M,43.0,29,211,1020,169,811,213,9,1,
17,ht3,30,M,43.0,29,585,671,585,671,213,9,1,1
18,ht3,30,M,43.0,29,518,878,518,878,233,10,2,
19,ht3,30,M,43.0,29,178,658,394,573,233,10,2,1
20,ht3,30,M,43.0,29,575,675,575,675,233,11,2,
21,ht3,30,M,43.0,29,435,838,213,768,233,11,2,1
22,ht3,30,M,43.0,29,558,665,601,874,213,12,1,
23,ht3,30,M,43.0,29,419,815,419,815,213,12,1,2
24,ht3,30,M,43.0,29,163,657,163,657,213,13,2,
25,ht3,30,M,43.0,29,500,867,399,679,213,13,2,2
26,ht3,30,M,43.0,29,317,861,168,683,233,14,1,
27,ht3,30,M,43.0,29,160,676,160,676,233,14,1,1
28,ht3,30,M,43.0,29,330,774,168,581,252,15,1,
29,ht3,30,M,43.0,29,594,960,594,960,252,15,1,2
30,ht3,30,M,43.0,29,254,1030,254,1030,252,16,2,
31,ht3,30,M,43.0,29,364,666,598,572,252,16,2,1
32,ht3,30,M,43.0,29,167,1007,249,790,233,17,1,
33,ht3,30,M,43.0,29,358,947,358,947,233,17,1,1
