id,name,age,gender,wrist_width,physical_pin,haptic_x,haptic_y,visual_x,visual_y,dist,trial_id,expected_ans,ans
0,ht,30,M,43.0,80,309,863,194,681,215,1,1,
1,ht,30,M,43.0,80,198,697,198,697,215,1,1,2
2,ht,30,M,43.0,80,332,892,194,727,215,2,1,
3,ht,30,M,43.0,80,329,685,329,685,215,2,1,1
4,ht,30,M,43.0,80,180,882,180,882,343,3,2,
5,ht,30,M,43.0,80,604,709,396,982,343,3,2,1
6,ht,30,M,43.0,80,213,866,548,793,343,4,1,
7,ht,30,M,43.0,80,577,1018,577,1018,343,4,1,2
8,ht,30,M,43.0,80,200,681,200,681,215,5,2,
9,ht,30,M,43.0,80,637,704,575,910,215,5,2,1
10,ht,30,M,43.0,80,229,909,443,890,215,6,1,
11,ht,30,M,43.0,80,485,861,485,861,215,6,1,2
12,ht,30,M,43.0,80,262,679,192,627,87,7,1,
13,ht,30,M,43.0,80,543,912,543,912,87,7,1,2
14,ht,30,M,43.0,80,403,701,338,643,87,8,1,
15,ht,30,M,43.0,80,589,884,589,884,87,8,1,1
16,ht,30,M,43.0,80,203,977,203,977,215,9,2,
17,ht,30,M,43.0,80,335,754,485,600,215,9,2,1
18,ht,30,M,43.0,80,619,690,619,690,215,10,2,
19,ht,30,M,43.0,80,595,876,569,663,215,10,2,1
20,ht,30,M,43.0,80,342,708,342,708,87,11,2,
21,ht,30,M,43.0,80,187,882,268,850,87,11,2,1
22,ht,30,M,43.0,80,245,688,285,611,87,12,1,
23,ht,30,M,43.0,80,592,870,592,870,87,12,1,2
24,ht,30,M,43.0,80,349,724,349,724,0,13,-1,
25,ht,30,M,43.0,80,194,865,194,865,0,13,-1,1
26,ht,30,M,43.0,80,557,921,501,890,64,14,1,
27,ht,30,M,43.0,80,188,678,188,678,64,14,1,1
28,ht,30,M,43.0,80,182,886,219,763,128,15,1,
29,ht,30,M,43.0,80,200,686,200,686,128,15,1,2
30,ht,30,M,43.0,80,497,730,497,730,128,16,2,
31,ht,30,M,43.0,80,202,894,314,833,128,16,2,1
32,ht,30,M,43.0,80,441,835,441,835,64,17,2,
33,ht,30,M,43.0,80,204,1007,210,943,64,17,2,1
34,ht,30,M,43.0,80,201,884,201,884,64,18,2,
35,ht,30,M,43.0,80,288,695,254,641,64,18,2,2
36,ht,30,M,43.0,80,218,872,274,757,128,19,1,
37,ht,30,M,43.0,80,509,705,509,705,128,19,1,1
38,ht,30,M,43.0,80,643,859,466,785,192,20,1,
39,ht,30,M,43.0,80,381,789,381,789,192,20,1,2
40,ht,30,M,43.0,80,193,949,193,949,192,21,2,
41,ht,30,M,43.0,80,340,822,193,698,192,21,2,1
42,ht,30,M,43.0,80,199,708,199,708,128,22,2,
43,ht,30,M,43.0,80,560,696,576,823,128,22,2,2
44,ht,30,M,43.0,80,218,683,409,659,192,23,1,
45,ht,30,M,43.0,80,322,863,322,863,192,23,1,2
46,ht,30,M,43.0,80,226,681,226,681,192,24,2,
47,ht,30,M,43.0,80,326,842,293,653,192,24,2,1
48,ht,30,M,43.0,80,606,699,606,699,160,25,2,
49,ht,30,M,43.0,80,322,815,202,709,160,25,2,1
50,ht,30,M,43.0,80,563,927,466,800,160,26,1,
51,ht,30,M,43.0,80,203,875,203,875,160,26,1,1
52,ht,30,M,43.0,80,420,722,420,722,192,27,2,
53,ht,30,M,43.0,80,284,877,194,707,192,27,2,1
54,ht,30,M,43.0,80,525,1000,359,904,192,28,1,
55,ht,30,M,43.0,80,386,743,386,743,192,28,1,1
56,ht,30,M,43.0,80,230,878,408,742,224,29,1,
57,ht,30,M,43.0,80,325,707,325,707,224,29,1,1
58,ht,30,M,43.0,80,596,874,434,676,256,30,1,
59,ht,30,M,43.0,80,263,854,263,854,256,30,1,2
60,ht,30,M,43.0,80,607,708,607,708,256,31,2,
61,ht,30,M,43.0,80,201,926,448,860,256,31,2,2
62,ht,30,M,43.0,80,371,762,371,762,288,32,2,
63,ht,30,M,43.0,80,202,883,374,652,288,32,2,1
64,ht,30,M,43.0,80,573,877,573,877,288,33,2,
65,ht,30,M,43.0,80,636,693,575,974,288,33,2,1
66,ht,30,M,43.0,80,202,680,445,600,256,34,1,
67,ht,30,M,43.0,80,371,793,371,793,256,34,1,2
68,ht,30,M,43.0,80,199,908,330,688,256,35,1,
69,ht,30,M,43.0,80,261,718,261,718,256,35,1,1
70,ht,30,M,43.0,80,508,1004,508,1004,288,36,2,
71,ht,30,M,43.0,80,590,684,572,971,288,36,2,1
72,ht,30,M,43.0,80,469,853,192,773,288,37,1,
73,ht,30,M,43.0,80,319,693,319,693,288,37,1,2
74,ht,30,M,43.0,80,489,839,276,981,256,38,1,
75,ht,30,M,43.0,80,323,764,323,764,256,38,1,2
76,ht,30,M,43.0,80,612,691,572,944,256,39,1,
77,ht,30,M,43.0,80,598,893,598,893,256,39,1,1
78,ht,30,M,43.0,-22,215,773,357,629,202,1,1,
79,ht,30,M,43.0,-22,598,634,598,634,202,1,1,2
80,ht,30,M,43.0,-22,159,1001,342,915,202,2,1,
81,ht,30,M,43.0,-22,418,636,418,636,202,2,1,2
82,ht,30,M,43.0,-22,258,860,258,860,176,3,2,
83,ht,30,M,43.0,-22,381,711,211,664,176,3,2,1
84,ht,30,M,43.0,-22,332,938,179,851,176,4,1,
85,ht,30,M,43.0,-22,275,706,275,706,176,4,1,2
86,ht,30,M,43.0,-22,442,898,442,898,150,5,2,
87,ht,30,M,43.0,-22,374,661,229,623,150,5,2,1
88,ht,30,M,43.0,-22,151,708,169,559,150,6,1,
89,ht,30,M,43.0,-22,195,928,195,928,150,6,1,1
90,ht,30,M,43.0,-22,488,639,488,639,176,7,2,
91,ht,30,M,43.0,-22,486,842,320,783,176,7,2,1
92,ht,30,M,43.0,-22,266,1025,266,1025,176,8,2,
93,ht,30,M,43.0,-22,149,885,309,812,176,8,2,1
94,ht,30,M,43.0,-22,553,820,553,820,150,9,2,
95,ht,30,M,43.0,-22,273,900,184,779,150,9,2,1
96,ht,30,M,43.0,-22,495,891,347,867,150,10,1,
97,ht,30,M,43.0,-22,241,735,241,735,150,10,1,2
98,ht,30,M,43.0,-22,462,770,462,770,124,11,2,
99,ht,30,M,43.0,-22,144,1031,175,911,124,11,2,2
100,ht,30,M,43.0,-22,621,667,627,817,150,12,1,
101,ht,30,M,43.0,-22,405,653,405,653,150,12,1,2
102,ht,30,M,43.0,-22,541,830,407,763,150,13,1,
103,ht,30,M,43.0,-22,301,646,301,646,150,13,1,2
104,ht,30,M,43.0,-22,156,930,156,930,124,14,2,
105,ht,30,M,43.0,-22,591,1051,540,938,124,14,2,1
106,ht,30,M,43.0,-22,168,633,292,623,124,15,1,
107,ht,30,M,43.0,-22,376,693,376,693,124,15,1,2
108,ht,30,M,43.0,-22,587,641,587,641,98,16,2,
109,ht,30,M,43.0,-22,162,702,260,699,98,16,2,1
110,ht,30,M,43.0,-22,626,927,626,927,98,17,2,
111,ht,30,M,43.0,-22,505,701,487,605,98,17,2,2
112,ht,30,M,43.0,-22,386,866,296,801,111,18,1,
113,ht,30,M,43.0,-22,228,654,228,654,111,18,1,1
114,ht,30,M,43.0,-22,139,936,139,936,124,19,2,
115,ht,30,M,43.0,-22,173,696,243,594,124,19,2,1
116,ht,30,M,43.0,-22,492,757,480,634,124,20,1,
117,ht,30,M,43.0,-22,419,947,419,947,124,20,1,2
118,ht,30,M,43.0,-22,236,847,318,772,111,21,1,
119,ht,30,M,43.0,-22,255,643,255,643,111,21,1,1
120,ht,30,M,43.0,-22,549,632,625,730,124,22,1,
121,ht,30,M,43.0,-22,242,750,242,750,124,22,1,2
122,ht,30,M,43.0,-22,423,954,423,954,124,23,2,
123,ht,30,M,43.0,-22,305,751,226,656,124,23,2,1
124,ht,30,M,43.0,-22,449,907,449,907,111,24,2,
125,ht,30,M,43.0,-22,234,671,295,578,111,24,2,1
