id,name,age,gender,wrist_width,physical_pin,haptic_x,haptic_y,visual_x,visual_y,dist,trial_id,expected_ans,ans
0,ssadsd,ssadsd,ssadsd,40.0,29,323,661,323,661,257,1,2,
1,ssadsd,ssadsd,ssadsd,40.0,29,626,1032,402,906,257,1,2,1
2,ssadsd,ssadsd,ssadsd,40.0,29,603,791,603,791,257,2,2,
3,ssadsd,ssadsd,ssadsd,40.0,29,275,799,399,574,257,2,2,1
4,ssadsd,ssadsd,ssadsd,40.0,29,557,750,557,750,180,3,2,
5,ssadsd,ssadsd,ssadsd,40.0,29,263,659,421,573,180,3,2,1
6,ssadsd,ssadsd,ssadsd,40.0,29,208,898,208,898,180,4,2,
7,ssadsd,ssadsd,ssadsd,40.0,29,581,670,601,849,180,4,2,2
8,ssadsd,ssadsd,ssadsd,40.0,29,484,894,250,787,257,5,1,
9,ssadsd,ssadsd,ssadsd,40.0,29,423,713,423,713,257,5,1,2
10,ssadsd,ssadsd,ssadsd,40.0,29,366,923,366,923,257,6,2,
11,ssadsd,ssadsd,ssadsd,40.0,29,600,1009,560,755,257,6,2,1
12,ssadsd,ssadsd,ssadsd,40.0,29,458,830,442,651,180,7,1,
13,ssadsd,ssadsd,ssadsd,40.0,29,351,663,351,663,180,7,1,1
14,ssadsd,ssadsd,ssadsd,40.0,29,342,873,342,873,257,8,2,
15,ssadsd,ssadsd,ssadsd,40.0,29,383,680,600,817,257,8,2,1
16,ssadsd,ssadsd,ssadsd,40.0,29,619,997,619,997,257,9,2,
17,ssadsd,ssadsd,ssadsd,40.0,29,173,644,420,574,257,9,2,1
18,ssadsd,ssadsd,ssadsd,40.0,29,327,785,327,785,180,10,2,
19,ssadsd,ssadsd,ssadsd,40.0,29,474,902,393,741,180,10,2,2
20,ssadsd,ssadsd,ssadsd,40.0,29,586,675,601,893,219,11,1,
21,ssadsd,ssadsd,ssadsd,40.0,29,486,900,486,900,219,11,1,1
22,ssadsd,ssadsd,ssadsd,40.0,29,342,784,488,572,257,12,1,
23,ssadsd,ssadsd,ssadsd,40.0,29,500,891,500,891,257,12,1,2
24,ssadsd,ssadsd,ssadsd,40.0,29,480,655,599,883,257,13,1,
25,ssadsd,ssadsd,ssadsd,40.0,29,492,871,492,871,257,13,1,2
26,ssadsd,ssadsd,ssadsd,40.0,29,547,655,601,867,219,14,1,
27,ssadsd,ssadsd,ssadsd,40.0,29,208,794,208,794,219,14,1,2
28,ssadsd,ssadsd,ssadsd,40.0,29,527,762,309,746,219,15,1,
29,ssadsd,ssadsd,ssadsd,40.0,29,318,649,318,649,219,15,1,2
30,ssadsd,ssadsd,ssadsd,40.0,29,479,911,479,911,180,16,2,
31,ssadsd,ssadsd,ssadsd,40.0,29,214,1042,388,995,180,16,2,1
32,ssadsd,ssadsd,ssadsd,40.0,29,285,806,285,806,180,17,2,
33,ssadsd,ssadsd,ssadsd,40.0,29,505,780,336,717,180,17,2,1
34,ssadsd,ssadsd,ssadsd,40.0,29,185,651,303,572,142,18,1,
35,ssadsd,ssadsd,ssadsd,40.0,29,361,873,361,873,142,18,1,1
36,ssadsd,ssadsd,ssadsd,40.0,29,394,666,394,666,180,19,2,
37,ssadsd,ssadsd,ssadsd,40.0,29,248,853,361,713,180,19,2,2
38,ssadsd,ssadsd,ssadsd,40.0,29,318,661,318,661,219,20,2,
39,ssadsd,ssadsd,ssadsd,40.0,29,313,889,166,727,219,20,2,1
40,ssadsd,ssadsd,ssadsd,40.0,29,177,709,394,683,219,21,1,
41,ssadsd,ssadsd,ssadsd,40.0,29,245,897,245,897,219,21,1,2
42,ssadsd,ssadsd,ssadsd,40.0,29,324,710,441,573,180,22,1,
43,ssadsd,ssadsd,ssadsd,40.0,29,522,794,522,794,180,22,1,2
44,ssadsd,ssadsd,ssadsd,40.0,29,325,688,325,688,180,23,2,
45,ssadsd,ssadsd,ssadsd,40.0,29,539,667,600,837,180,23,2,1
46,ssadsd,ssadsd,ssadsd,40.0,29,222,977,222,977,142,24,2,
47,ssadsd,ssadsd,ssadsd,40.0,29,550,652,421,593,142,24,2,2
48,ssadsd,ssadsd,ssadsd,40.0,29,178,648,342,573,180,25,1,
49,ssadsd,ssadsd,ssadsd,40.0,29,459,713,459,713,180,25,1,2
