id,name,age,gender,wrist_width,physical_pin,haptic_x,haptic_y,visual_x,visual_y,dist,trial_id,expected_ans,ans
0,dasdas,dasdas,dasdas,40.0,29,270,792,270,792,239,1,2,
1,dasdas,dasdas,dasdas,40.0,29,453,885,269,732,239,1,2,1
2,dasdas,dasdas,dasdas,40.0,29,221,922,221,922,239,2,2,
3,dasdas,dasdas,dasdas,40.0,29,610,645,599,884,239,2,2,2
4,dasdas,dasdas,dasdas,40.0,29,307,819,504,572,316,3,1,
5,dasdas,dasdas,dasdas,40.0,29,530,782,530,782,316,3,1,2
6,dasdas,dasdas,dasdas,40.0,29,381,910,362,595,316,4,1,
7,dasdas,dasdas,dasdas,40.0,29,395,700,395,700,316,4,1,1
8,dasdas,dasdas,dasdas,40.0,29,559,880,559,880,393,5,2,
9,dasdas,dasdas,dasdas,40.0,29,223,658,601,766,393,5,2,1
10,dasdas,dasdas,dasdas,40.0,29,551,643,551,643,393,6,2,
11,dasdas,dasdas,dasdas,40.0,29,216,661,600,576,393,6,2,1
12,dasdas,dasdas,dasdas,40.0,29,165,915,165,915,316,7,2,
13,dasdas,dasdas,dasdas,40.0,29,188,701,478,576,316,7,2,2
14,dasdas,dasdas,dasdas,40.0,29,169,901,169,901,393,8,2,
15,dasdas,dasdas,dasdas,40.0,29,161,654,546,576,393,8,2,1
16,dasdas,dasdas,dasdas,40.0,29,596,666,596,666,393,9,2,
17,dasdas,dasdas,dasdas,40.0,29,596,893,213,807,393,9,2,2
18,dasdas,dasdas,dasdas,40.0,29,505,688,505,688,470,10,2,
