id,name,age,gender,wrist_width,physical_pin,haptic_x,haptic_y,visual_x,visual_y,dist,trial_id,expected_ans,ans
0,sdasdasfsa,sdasdasfsa,sdasdasfsa,40.0,29,447,920,447,920,256,1,2,
1,sdasdasfsa,sdasdasfsa,sdasdasfsa,40.0,29,260,769,425,573,256,1,2,1
2,sdasdasfsa,sdasdasfsa,sdasdasfsa,40.0,29,424,903,424,903,256,2,2,
3,sdasdasfsa,sdasdasfsa,sdasdasfsa,40.0,29,275,743,467,573,256,2,2,1
4,sdasdasfsa,sdasdasfsa,sdasdasfsa,40.0,29,158,926,254,775,179,3,1,
5,sdasdasfsa,sdasdasfsa,sdasdasfsa,40.0,29,447,663,447,663,179,3,1,2
6,sdasdasfsa,sdasdasfsa,sdasdasfsa,40.0,29,305,843,305,843,179,4,2,
7,sdasdasfsa,sdasdasfsa,sdasdasfsa,40.0,29,582,990,518,823,179,4,2,1
8,sdasdasfsa,sdasdasfsa,sdasdasfsa,40.0,29,522,724,522,724,102,5,2,
9,sdasdasfsa,sdasdasfsa,sdasdasfsa,40.0,29,459,903,430,805,102,5,2,1
10,sdasdasfsa,sdasdasfsa,sdasdasfsa,40.0,29,396,700,304,656,102,6,1,
11,sdasdasfsa,sdasdasfsa,sdasdasfsa,40.0,29,616,677,616,677,102,6,1,1
12,sdasdasfsa,sdasdasfsa,sdasdasfsa,40.0,29,284,661,440,573,179,7,1,
13,sdasdasfsa,sdasdasfsa,sdasdasfsa,40.0,29,305,898,305,898,179,7,1,1
14,sdasdasfsa,sdasdasfsa,sdasdasfsa,40.0,29,555,680,302,641,256,8,1,
15,sdasdasfsa,sdasdasfsa,sdasdasfsa,40.0,29,412,928,412,928,256,8,1,1
16,sdasdasfsa,sdasdasfsa,sdasdasfsa,40.0,29,337,715,337,715,333,9,2,
17,sdasdasfsa,sdasdasfsa,sdasdasfsa,40.0,29,158,849,361,585,333,9,2,1
18,sdasdasfsa,sdasdasfsa,sdasdasfsa,40.0,29,207,650,207,650,333,10,2,
19,sdasdasfsa,sdasdasfsa,sdasdasfsa,40.0,29,543,794,285,1004,333,10,2,1
20,sdasdasfsa,sdasdasfsa,sdasdasfsa,40.0,29,157,1031,314,829,256,11,1,
21,sdasdasfsa,sdasdasfsa,sdasdasfsa,40.0,29,326,928,326,928,256,11,1,1
22,sdasdasfsa,sdasdasfsa,sdasdasfsa,40.0,29,201,751,484,576,333,12,1,
23,sdasdasfsa,sdasdasfsa,sdasdasfsa,40.0,29,603,948,603,948,333,12,1,1
24,sdasdasfsa,sdasdasfsa,sdasdasfsa,40.0,29,234,667,234,667,410,13,2,
25,sdasdasfsa,sdasdasfsa,sdasdasfsa,40.0,29,594,708,188,650,410,13,2,2
26,sdasdasfsa,sdasdasfsa,sdasdasfsa,40.0,29,529,921,529,921,487,14,2,
