id,name,age,gender,wrist_width,physical_pin,haptic_x,haptic_y,visual_x,visual_y,dist,trial_id,expected_ans,ans
0,rae,rae,rae,40,29,314,825,314,825,242,1,2,
1,rae,rae,rae,40,29,516,773,315,638,242,1,2,2
2,rae,rae,rae,40,29,400,927,400,927,242,2,2,
3,rae,rae,rae,40,29,520,691,315,638,242,2,2,2
4,rae,rae,rae,40,29,384,903,315,638,165,3,1,
5,rae,rae,rae,40,29,250,681,250,681,165,3,1,1
6,rae,rae,rae,40,29,438,719,315,638,165,4,1,
7,rae,rae,rae,40,29,176,1046,176,1046,165,4,1,2
8,rae,rae,rae,40,29,505,679,505,679,242,5,2,
9,rae,rae,rae,40,29,360,882,315,638,242,5,2,2
10,rae,rae,rae,40,29,405,685,405,685,242,6,2,
11,rae,rae,rae,40,29,340,861,315,638,242,6,2,2
12,rae,rae,rae,40,29,320,673,315,638,165,7,1,
13,rae,rae,rae,40,29,162,901,162,901,165,7,1,2
14,rae,rae,rae,40,29,553,850,553,850,242,8,2,
15,rae,rae,rae,40,29,633,669,315,638,242,8,2,2
16,rae,rae,rae,40,29,200,651,200,651,242,9,2,
17,rae,rae,rae,40,29,621,682,315,638,242,9,2,2
18,rae,rae,rae,40,29,386,734,386,734,165,10,2,
19,rae,rae,rae,40,29,544,827,315,638,165,10,2,2
20,rae,rae,rae,40,29,400,681,400,681,165,11,2,
21,rae,rae,rae,40,29,531,870,315,638,165,11,2,2
22,rae,rae,rae,40,29,506,674,506,674,88,12,2,
23,rae,rae,rae,40,29,545,873,315,638,88,12,2,2
24,rae,rae,rae,40,29,208,645,208,645,88,13,2,
25,rae,rae,rae,40,29,157,885,315,638,88,13,2,2
26,rae,rae,rae,40,29,603,651,603,651,11,14,2,
27,rae,rae,rae,40,29,401,676,315,638,11,14,2,2
28,rae,rae,rae,40,29,420,891,315,638,11,15,1,
29,rae,rae,rae,40,29,168,729,168,729,11,15,1,1
30,rae,rae,rae,40,29,599,652,599,652,0,16,-1,
31,rae,rae,rae,40,29,403,878,403,878,0,16,-1,1
32,rae,rae,rae,40,29,579,772,315,638,39,17,1,
33,rae,rae,rae,40,29,324,662,324,662,39,17,1,1
34,rae,rae,rae,40,29,341,880,341,880,39,18,2,
35,rae,rae,rae,40,29,444,714,315,638,39,18,2,2
36,rae,rae,rae,40,29,455,919,455,919,0,19,-1,
37,rae,rae,rae,40,29,412,733,412,733,0,19,-1,1
38,rae,rae,rae,40,29,502,903,315,638,39,20,1,
39,rae,rae,rae,40,29,536,659,536,659,39,20,1,1
40,rae,rae,rae,40,29,505,857,505,857,39,21,2,
41,rae,rae,rae,40,29,198,860,315,638,39,21,2,2
42,rae,rae,rae,40,29,237,671,237,671,0,22,-1,
43,rae,rae,rae,40,29,493,653,493,653,0,22,-1,1
44,rae,rae,rae,40,29,287,737,315,638,39,23,1,
45,rae,rae,rae,40,29,192,918,192,918,39,23,1,1
46,rae,rae,rae,40,29,597,650,315,638,39,24,1,
47,rae,rae,rae,40,29,243,960,243,960,39,24,1,1
48,rae,rae,rae,40,29,628,843,628,843,19,25,2,
49,rae,rae,rae,40,29,286,655,315,638,19,25,2,1
50,rae,rae,rae,40,29,163,882,315,638,39,26,1,
51,rae,rae,rae,40,29,307,706,307,706,39,26,1,1
52,rae,rae,rae,40,29,493,789,315,638,39,27,1,
53,rae,rae,rae,40,29,225,664,225,664,39,27,1,1
54,rae,rae,rae,40,29,515,649,315,638,19,28,1,
55,rae,rae,rae,40,29,173,683,173,683,19,28,1,2
56,rae,rae,rae,40,29,609,1022,609,1022,39,29,2,
57,rae,rae,rae,40,29,298,650,315,638,39,29,2,1
58,rae,rae,rae,40,29,431,828,431,828,58,30,2,
59,rae,rae,rae,40,29,277,925,315,638,58,30,2,2
60,rae,rae,rae,40,29,252,683,252,683,58,31,2,
61,rae,rae,rae,40,29,321,902,315,638,58,31,2,2
62,rae,rae,rae,40,29,429,726,429,726,39,32,2,
63,rae,rae,rae,40,29,233,804,315,638,39,32,2,1
64,rae,rae,rae,40,-22,259,834,315,638,222,1,1,
65,rae,rae,rae,40,-22,610,1024,610,1024,222,1,1,1
66,rae,rae,rae,40,-22,227,855,315,638,222,2,1,
67,rae,rae,rae,40,-22,430,674,430,674,222,2,1,1
68,rae,rae,rae,40,-22,175,664,315,638,196,3,1,
69,rae,rae,rae,40,-22,536,623,536,623,196,3,1,1
70,rae,rae,rae,40,-22,598,899,598,899,196,4,2,
71,rae,rae,rae,40,-22,422,690,315,638,196,4,2,2
72,rae,rae,rae,40,-22,189,911,189,911,170,5,2,
73,rae,rae,rae,40,-22,312,751,315,638,170,5,2,2
74,rae,rae,rae,40,-22,352,954,315,638,170,6,1,
75,rae,rae,rae,40,-22,400,638,400,638,170,6,1,1
76,rae,rae,rae,40,-22,220,847,315,638,144,7,1,
77,rae,rae,rae,40,-22,572,803,572,803,144,7,1,1
78,rae,rae,rae,40,-22,386,680,386,680,144,8,2,
79,rae,rae,rae,40,-22,482,898,315,638,144,8,2,2
80,rae,rae,rae,40,-22,636,768,315,638,118,9,1,
81,rae,rae,rae,40,-22,401,721,401,721,118,9,1,2
82,rae,rae,rae,40,-22,260,917,315,638,144,10,1,
83,rae,rae,rae,40,-22,263,665,263,665,144,10,1,1
84,rae,rae,rae,40,-22,593,688,593,688,144,11,2,
85,rae,rae,rae,40,-22,517,908,315,638,144,11,2,2
86,rae,rae,rae,40,-22,406,744,406,744,118,12,2,
87,rae,rae,rae,40,-22,225,930,315,638,118,12,2,1
88,rae,rae,rae,40,-22,251,742,315,638,144,13,1,
