id,name,age,gender,wrist_width,physical_pin,haptic_x,haptic_y,visual_x,visual_y,dist,trial_id,expected_ans,ans
0,wjx3,wjx3,wjx3,40.0,80,533,889,427,712,206,1,1,
1,wjx3,wjx3,wjx3,40.0,80,426,699,426,699,206,1,1,1
2,wjx3,wjx3,wjx3,40.0,80,544,883,427,712,206,2,1,
3,wjx3,wjx3,wjx3,40.0,80,478,698,478,698,206,2,1,2
4,wjx3,wjx3,wjx3,40.0,80,391,891,427,712,334,3,1,
5,wjx3,wjx3,wjx3,40.0,80,621,951,621,951,334,3,1,2
6,wjx3,wjx3,wjx3,40.0,80,213,680,427,712,462,4,1,
7,wjx3,wjx3,wjx3,40.0,80,557,685,557,685,462,4,1,2
8,wjx3,wjx3,wjx3,40.0,80,596,896,596,896,486,5,2,
9,wjx3,wjx3,wjx3,40.0,80,243,680,576,598,486,5,2,2
10,wjx3,wjx3,wjx3,40.0,80,204,899,576,598,486,6,1,
11,wjx3,wjx3,wjx3,40.0,80,200,679,200,679,486,6,1,1
12,wjx3,wjx3,wjx3,40.0,80,229,881,570,771,358,7,1,
13,wjx3,wjx3,wjx3,40.0,80,216,671,216,671,358,7,1,2
14,wjx3,wjx3,wjx3,40.0,80,182,886,576,598,486,8,1,
15,wjx3,wjx3,wjx3,40.0,80,225,678,225,678,486,8,1,1
16,wjx3,wjx3,wjx3,40.0,80,242,824,576,598,486,9,1,
17,wjx3,wjx3,wjx3,40.0,80,638,668,638,668,486,9,1,1
18,wjx3,wjx3,wjx3,40.0,80,536,859,208,716,358,10,1,
19,wjx3,wjx3,wjx3,40.0,80,182,1004,182,1004,358,10,1,1
20,wjx3,wjx3,wjx3,40.0,80,618,673,208,716,358,11,1,
21,wjx3,wjx3,wjx3,40.0,80,245,789,245,789,358,11,1,1
22,wjx3,wjx3,wjx3,40.0,80,544,931,544,931,230,12,2,
23,wjx3,wjx3,wjx3,40.0,80,421,773,208,716,230,12,2,2
24,wjx3,wjx3,wjx3,40.0,80,184,670,184,670,230,13,2,
25,wjx3,wjx3,wjx3,40.0,80,269,869,208,716,230,13,2,1
26,wjx3,wjx3,wjx3,40.0,80,539,893,539,893,294,14,2,
27,wjx3,wjx3,wjx3,40.0,80,530,687,208,716,294,14,2,2
28,wjx3,wjx3,wjx3,40.0,80,218,681,208,716,294,15,1,
29,wjx3,wjx3,wjx3,40.0,80,225,891,225,891,294,15,1,2
30,wjx3,wjx3,wjx3,40.0,80,282,703,208,716,358,16,1,
31,wjx3,wjx3,wjx3,40.0,80,531,891,531,891,358,16,1,2
32,wjx3,wjx3,wjx3,40.0,80,178,993,208,716,422,17,1,
33,wjx3,wjx3,wjx3,40.0,80,251,684,251,684,422,17,1,1
34,wjx3,wjx3,wjx3,40.0,80,566,1002,566,1002,422,18,2,
35,wjx3,wjx3,wjx3,40.0,80,198,689,208,716,422,18,2,1
36,wjx3,wjx3,wjx3,40.0,80,480,888,192,598,486,19,1,
37,wjx3,wjx3,wjx3,40.0,80,239,694,239,694,486,19,1,2
38,wjx3,wjx3,wjx3,40.0,80,238,861,238,861,486,20,2,
39,wjx3,wjx3,wjx3,40.0,80,610,916,192,598,486,20,2,1
40,wjx3,wjx3,wjx3,40.0,80,302,893,302,893,486,21,2,
41,wjx3,wjx3,wjx3,40.0,80,184,691,576,598,486,21,2,2
42,wjx3,wjx3,wjx3,40.0,80,204,909,576,598,486,22,1,
43,wjx3,wjx3,wjx3,40.0,80,178,681,178,681,486,22,1,1
44,wjx3,wjx3,wjx3,40.0,80,545,945,545,945,422,23,2,
45,wjx3,wjx3,wjx3,40.0,80,201,838,557,611,422,23,2,1
46,wjx3,wjx3,wjx3,40.0,80,480,830,480,830,486,24,2,
47,wjx3,wjx3,wjx3,40.0,80,625,676,192,598,486,24,2,1
48,wjx3,wjx3,wjx3,40.0,80,589,886,589,886,486,25,2,
49,wjx3,wjx3,wjx3,40.0,80,583,691,192,598,486,25,2,1
50,wjx3,wjx3,wjx3,40.0,80,287,877,192,598,486,26,1,
51,wjx3,wjx3,wjx3,40.0,80,455,675,455,675,486,26,1,2
52,wjx3,wjx3,wjx3,40.0,80,545,895,192,598,486,27,1,
53,wjx3,wjx3,wjx3,40.0,80,234,1041,234,1041,486,27,1,1
54,wjx3,wjx3,wjx3,40.0,80,569,1005,569,1005,486,28,2,
55,wjx3,wjx3,wjx3,40.0,80,524,677,192,598,486,28,2,2
56,wjx3,wjx3,wjx3,40.0,80,197,905,528,643,422,29,1,
57,wjx3,wjx3,wjx3,40.0,80,237,692,237,692,422,29,1,1
58,wjx3,wjx3,wjx3,40.0,80,551,940,528,643,422,30,1,
59,wjx3,wjx3,wjx3,40.0,80,219,926,219,926,422,30,1,2
60,wjx3,wjx3,wjx3,40.0,80,225,676,576,598,486,31,1,
61,wjx3,wjx3,wjx3,40.0,80,548,677,548,677,486,31,1,1
62,wjx3,wjx3,wjx3,40.0,80,183,681,576,598,486,32,1,
63,wjx3,wjx3,wjx3,40.0,80,555,837,555,837,486,32,1,1
